Multifunctional Nanomaterials Laboratory,에너지환경화학융합기술전공,Nicola Pinna,302동 1015호,http://www.pinna.info/nano/
Nanostructures Laboratory,에너지환경화학융합기술전공,Goran Ungar,302동 1016호,http://www.shef.ac.uk/materials/staff/ungar.html
Project : Architecture,건축학과,존홍,39-509,https://projectarchitecture.com/
Proteomics & Biomarker Laboratory,,김영수,의과대학 의과학관 301호,http://biolab.snu.ac.kr
RS(원격탐사)연구실,건설환경공학부,김용일,35-318,http://spins.snu.ac.kr/
TAALab ,건축학과,조항만,39-509,
가상머신 및 최적화 연구실,전기·정보공학부,문수묵,"301동 819호,  851호",http://altair.snu.ac.kr
강구조내진설계연구실,건축학과,이철호,39-420,https://snu-archisteel.com/
건설기술연구실,건축학과,"박문서,안창범",39-425,https://cem.snu.ac.kr
건설혁신연구실,건설환경공학부,지석호,35-304,http://cm.snu.ac.kr
건축공간연구실,건축학과,강예린,39-509,
건축구조시스템연구실,건축학과,박홍근,39-421,http://bssl.snu.ac.kr/
건축도시공간연구실,건축학과,강범준,39-514,https://laus.snu.ac.kr/
건축도시이론연구실,건축학과,백진,39-513,https://blog.naver.com/snuatplab
건축문화연구실,건축학과,최춘웅,39-509,
건축사연구실,건축학과,전봉희,39-525,http://archis.snu.ac.kr/
건축에너지연구실,건축학과,박철수,39-418,http://bs.snu.ac.kr/
건축환경계획연구실,건축학과,여명석,39-418,http://aeprl.snu.ac.kr/
경영과학/최적화 연구실,산업공학과,홍성필,39동 411호,http://polytope.snu.ac.kr
경제성 분석 연구실,산업공학과,이덕주,39동 315호,http://www.leesa.snu.ac.kr
고도산화환원 환경공학 연구실,화학생물공학부,이창하,302동 612-1호,http://artlab.snu.ac.kr
고분자 화학 연구실,화학생물공학부,이종찬,302동714호,http://pcl.snu.ac.kr
고성능 컴퓨터 시스템 연구실,전기·정보공학부,김장우,301동 1114호,http://hpcs.snu.ac.kr
고성능구조공학연구실,건축학과,강현구,39-439,http://hpse.snu.ac.kr/
고에너지응용 연구실,항공우주공학과,여재익,302동 213호,http://ecl.snu.ac.kr
고온 열화학 연구실,재료공학부,정인호,30-205,http://in-ho-group.snu.ac.kr
공간사회연구실,건축학과,서현,39-526,http://saltworkshop.net
공간정보 연구실,지구환경시스템공학부,김용일,"35-318, 208, 209",http://spins.snu.ac.kr
공급망관리 연구실,산업공학과,문일경,39동 312호,http://scm.snu.ac.kr
공력 소음 연구실,항공우주공학과,이수갑,"44동 205호, 311동 105호",http://aancl.snu.ac.kr
공력 시뮬레이션 & 디자인 연구실,항공우주공학과,김종암,"301동 1256호, 40동 106호",http://mana.snu.ac.kr
광·나노 전자소자 연구실,전기·정보공학부,곽정훈,"104-1동 509호, 301동 1051-3호",http://aone.snu.ac.kr
광공학 및 양자전자연구실,전기·정보공학부,이병호,"301동 816호, 301동 1118호",http://oeqelab.snu.ac.kr
광구조 및 광재료 연구실,재료공학부,이명재,"131-201,411",http://osml.snu.ac.kr/
광자 시스템 연구실,전기·정보공학부,박남규,301동 913호,http://stargate.snu.ac.kr
광전기화학 에너지 연구실,화학생물공학부,성영은,302동 1007호,http://peel.snu.ac.kr
교통계획·물류연구실,건설환경공학부,김동규,35-424,http://trlab.kr
교통공학연구실,건설환경공학부,이청원,35-422,http://trlab.kr
구조설계연구실,건설환경공학부,김호경,35-404,http://bridge.snu.ac.kr/
구조신뢰성연구실,건설환경공학부,송준호,"35-206, 207, 218",http://systemreliability.wordpress.com
구조재료실험실,건축학과,홍성걸,39-417,http://seml.snu.ac.kr/
구조해석연구실,건설환경공학부,이해성,,http://strana.snu.ac.kr
그래픽스 및 미디어 연구실,전기·정보공학부,고형석,133동 209호,http://graphics.snu.ac.kr
극초음속 및 희박기체 유동 연구실,항공우주공학과,김규홍,"40동 102호,105호",http://hypersonic.snu.ac.kr
극한환경 및 충돌 연구실,항공우주공학과,김윤호,302동 629호,https://sites.google.com/view/eilab
금융리스크공학 연구실,산업공학과,장우진,39동 319호,http://www.snufre.org
기계지능 및 데이터사이언스 연구실,전기·정보공학부,문태섭,301동 752-3호,http://mindlab-snu.github.io
기술 인텔리전스 연구실,산업공학과,이성주,39동 310호,http://tma.snu.ac.kr
기술경영 연구실,협동과정기술경영경제정책전공,강진아,37동321호,http://jinakang.snu.ac.kr/
기술경영 연구실,공학전문대학원,강진아,37동321호,http://jinakang.snu.ac.kr
기술경제,협동과정기술경영경제정책전공,이정동,37동323호,http://temep.snu.ac.kr
기술경제 및 혁신전략 연구실,공학전문대학원,이정동,37-323,http://temep.snu.ac.kr
기술사업화 에너지정책,협동과정기술경영경제정책전공,김연배,37동318호,http://temep.snu.ac.kr
기술시장이론,협동과정기술경영경제정책전공,이종수,37동319호,http://temep.snu.ac.kr
기후변화적응 수자원 연구실,건설환경공학부,김영오,"35-204,205",http://ccawr.snu.ac.kr
나노 & 스마트 복합재료 연구실,재료공학부,유웅열,31-311,http://nscm.snu.ac.kr
나노 / 마이크로 시스템 연구실,기계공학부,이정훈,"302동 411호, 104-1동 104호",http://nmsl.snu.ac.kr
나노 에너지 전달 공학 연구실,기계항공공학부,김태용,,
나노 재료 연구실,에너지환경화학융합기술전공,현택환,302동 512호,http://nanomat.snu.ac.kr/
나노 재료 연구실,화학생물공학부,현택환,302동512호,http://nanomat.snu.ac.kr/
나노/마이크로 시스템 및 제어 실험실,전기·정보공학부,조동일,"301동 715호, 133동 409, 133동 410호",http://nml.snu.ac.kr
나노계면소재공정 연구실,화학생물공학부,김연상,302동 1016호 ,https://snunml.com
나노구조 나노소자 연구실,재료공학부,장호원,31-310,http://sites.google.com/view/onnl
나노구조형 에코·에너지재료 연구실,재료공학부,곽승엽,30-513,http://hosting03.snu.ac.kr/~eco/
나노바이오재료연구실,재료공학부,안철희,31-413,http://nbml.snu.ac.kr/
나노스피닉스연구실,재료공학부,김상국,30-516,https://www.sdsw.snu.ac.kr
나노융합재료연구실,재료공학부,이관형,33-319,http://gwangroup.snu.ac.kr
나노재료이론 및 컴퓨터시뮬레이션 연구실,화학생물공학부,이원보,302동 712호,http://tcsm.snu.ac.kr/
나노전자·에너지재료 연구실,재료공학부,박민혁,"30-317,318,319",https://sites.google.com/view/neemlab/home
"난류, 유동제어 및 CFD/생체모방공학 실험실
난류, 유동제어 및 CFD/생체모방공학 실험실", ,"최해천
",301동 1413호,http://tfc.snu.ac.kr/
"난류, 유동제어 및 CFD/생체모방공학 연구실",기계공학부,최해천,301동 1413호,http://tfc.snu.ac.kr
내항조종연구실,조선해양공학과,남보우,34동 313호,
냉동시스템 및 컨트롤 연구실 / 연료전지시스템 연구실,기계공학부,김민수,301동 218호,http://reflab.snu.ac.kr/
네트워크 연구실,전기·정보공학부,박세웅,"132동 304호, 302동 510-1호",http://netlab.snu.ac.kr
네트워크 컴퓨팅 연구실,전기·정보공학부,이경한,301동 604호,https://sites.google.com/view/kyunghanlee
뉴로모픽 재료 및 소자 연구실,재료공학부,김상범,31-312,http://neuromorphic.snu.ac.kr
다기능성 소프트 재료 연구실,재료공학부,선정윤,30-315,http://mfsm.snu.ac.kr/
다변환 구조재료 연구실,재료공학부,최인석,"30-524, 525, 526, 317-1",http://www.mvsmlab.com
다상유동 및 유동가시화 연구실,기계공학부,박형민,313-222,http://mffv.snu.ac.kr/
다차원 재료화학 연구실,화학생물공학부,박정원,311동(ICP) 317호,http://parklab.snu.ac.kr
단백질신소재연구실,화학생물공학부,백승렬,302동 218호,http://apml.snu.ac.kr/
대규모 회로 및 시스템 연구실,전기·정보공학부,김재준,301동 852-1호,http://vlsi.snu.ac.kr
데이타마이닝 및 데이터베이스 연구실,전기·정보공학부,심규석,302동 516-2호,http://kdd.snu.ac.kr
데이터 기반 의사결정 연구실,공학전문대학원,이정혜,37-306-1,https://sites.google.com/view/d3mlab
데이터 마이닝 연구실,컴퓨터공학부,강유,"301동 515호, 518호, 551-1호, 551-3호",http://datalab.snu.ac.kr
데이터베이스 시스템 연구실,컴퓨터공학부,문봉기,"301동 418호, 452-2호",http://dbs.snu.ac.kr
데이터사이언스/인공지능 연구실,전기·정보공학부,윤성로,301동 953-2호,http://ailab.snu.ac.kr
도시건축보존계획연구실,건축학과,박소현,39-527,http://ufc.snu.ac.kr
도시계획연구실,건설환경공학부,정창무,35동 426호,http://urbanplanning.snu.ac.kr
도시설계연구실,건설환경공학부,권영상,35-425,https://blog.naver.com/akimage
도시설계학전공 스튜디오,협동과정도시설계학전공,이유미,39동 517호,https://ipud.snu.ac.kr
도시설계학전공 연구실,협동과정도시설계학전공,이유미,39동 518호,https://ipud.snu.ac.kr
동력공학 연구실,기계공학부,민경덕,"314동 205호, 206호",http://snual.snu.ac.kr
딥러닝연구실,조선해양공학과,김태완,"34동 303,304호",http://dllab.snu.ac.kr
레이저 연구실,전기·정보공학부,정윤찬,"301동 717호, 718호",http://laser.snu.ac.kr
로봇 인식 및 공간 지능 연구실,기계공학부,김아영,301동 1253호,https://rpm.snu.ac.kr
로봇자동화 연구실,기계공학부,박종우,302동 413호,https://sites.google.com/robotics.snu.ac.kr/fcp/
로봇학습연구실,전기·정보공학부,오성회,"133동 610호, 301동 718호, 301동 814호 ",http://rllab.snu.ac.kr/
로켓추진 연구실,항공우주공학과,윤영빈,301동 1312-2호,http://rpl.snu.ac.kr
마이크로머신 연구실,공학전문대학원,김용권,301동 1116호,http://misa.snu.ac.kr/
마이크로머신 연구실,전기·정보공학부,김용권,301동 1116호,http://misa.snu.ac.kr/
마이크로유체 및 소프트물질 연구실,기계공학부,김호영,,http://fluids.snu.ac.kr
머신러닝 연구실,Department of Computer Science and Engineering,송현오,302동 319호,http://mllab.snu.ac.kr
머신인텔리전스연구실,전기·정보공학부,정교민,301동 1115호,http://milab.snu.ac.kr
멀티미디어 무선통신망 연구실,전기·정보공학부,최성현,"302동 510-1호, 132동 403호",http://mwnl.snu.ac.kr/
멀티스케일 구조재료,건설환경공학부,문주혁,35동 506호,https://sites.google.com/view/moonslab
멀티스케일 에너지 과학 연구실,화학생물공학부,최장욱,302동 515호 & 311동 413호,http://mest.snu.ac.kr
멀티스케일 의기계공학 연구실,기계공학부,전누리,302동 415-2호,http://mbel.snu.ac.kr/
멀티피직스시스템 설계 연구실,기계공학부,김윤영,"301동 1317호 , 1318호 , 313동 324-1호",http://idealab.snu.ac.kr
메카트로닉스 실험실,기계공학부,고상근,302동 412호,http://mecha1.snu.ac.kr/
몬테칼로 연구실,원자핵공학과,심형진,32동 202-1호,
무선통신 및 정보시스템 연구실,전기·정보공학부,최완,"301동1119호,132동 403호",http://wcisl.snu.ac.kr/
물환경에너지공학 연구실,화학생물공학부,윤제용,302동 513호,http://env.snu.ac.kr/
미세소자재료실험실,재료공학부,주영창,"30-503, 30-506",http://ndml.snu.ac.kr/
미세유변학 연구실,화학생물공학부,안경현,302동 618호,https://microrheology.snu.ac.kr/ 
미세유체 및 코팅공정 연구실,화학생물공학부,남재욱,302동 615호,http://fluid.snu.ac.kr
미소역학 및 재료공정설계 연구실,재료공학부,한흥남,"30-313, 314",http://mmmpdl.snu.ac.kr/
바이오 인터페이스 전자소자 연구실,재료공학부,강승균,30-523,http://bielab.snu.ac.kr
바이오로보틱스 실험실,기계공학부,조규진,312동 402호,http://biorobotics.snu.ac.kr
바이오메디칼영상과학연구실,전기·정보공학부,이종호(B),301동 1053-2호,http://list.snu.ac.kr
바이오센서 및 전자연구실,,조성인,200-2204,http://beslab.snu.ac.kr/
바이오재료 프로그래밍 연구실,재료공학부,김영은,"131-211, 405, 406",https://kimgroup-snu.wixsite.com/home
바이오지능 연구실,컴퓨터공학부,장병탁,302동 314-1호,http://bi.snu.ac.kr
반도체 공정 및 분석 연구실,화학생물공학부,김지현,302동 1015 호,https://www.cpclsnu.com
반도체 소자 연구실,전기·정보공학부,신형철,301동 1001호,http://snudrl.snu.ac.kr
반도체 재료 및 소자연구실,전기·정보공학부,이종호(S),301동 1016호,http://smdl.snu.ac.kr/
반응성 유동 실험실,기계공학부,도형록,301동 1218호,http://rfl.snu.ac.kr/
방사선 공학 연구실,원자핵공학과,김기현,31동 113호,http://snuns.snu.ac.kr
방사선기기공학연구실,원자핵공학과,정경재,31동 108호,
방사선생명공학연구실,원자핵공학과,김은희,31동 414호,http://radbio.snu.ac.kr
보안 최적화 연구실,전기·정보공학부,백윤흥,302동 516-1호,http://sor.snu.ac.kr/
복합기능재료연구실,재료공학부,박찬,30-208,http://afml.snu.ac.kr/
부호 및 암호 연구실,전기·정보공학부,노종선,301동 652-1호,http://ccl.snu.ac.kr
분산시스템 연구실,컴퓨터공학부,엄현상,302동 319호,http://dcslab.snu.ac.kr
분산시스템 연구실,컴퓨터공학부,염헌영,302동 319호,http://dcslab.snu.ac.kr
분자집적물리 및 소자 연구실,전기·정보공학부,이신두,301동 1051-2호,http://mipd.snu.ac.kr
불균일촉매 설계 연구실,화학생물공학부,강종헌,302동 715호 ,https://jonghunkanglab.wordpress.com/
비주얼 컴퓨팅 연구실,컴퓨터공학부,주한별,302동 310-1호,https://jhugestar.github.io/
비행역학 및 제어 연구실,항공우주공학과,김유단,302동 318-2호,http://fdcl.snu.ac.kr/
빅데이터 AI 연구실,산업공학과,조성준,39동 339호,http://bdai.snu.ac.kr
빅데이터 분석 연구실,컴퓨터공학부,김형주,301동 453호,http://idb.snu.ac.kr
삶향상기술 연구실,산업공학과,박우진,39동 313호,http://let.snu.ac.kr
삼차원 집적 및 소자 연구실,전기·정보공학부,최우영,301동 1014호,https://sites.google.com/view/snutidl
상변화 제어 신소재 연구실 ,재료공학부,박은수,30-218-1,http://espark.snu.ac.kr/
생물분자공학 연구실,화학생물공학부,한지숙,302-717,http://biomolecule.snu.ac.kr
생물소재 및 식품생물공학 연구실,,서진호,200동 생명관 8104호,http://drseo.snu.ac.kr/
생물정보 및 생명정보 연구실,컴퓨터공학부,김선,"301동 551-3, 554-2, 554-3호",http://biohealth.snu.ac.kr
생산공학연구실,조선해양공학과,우종훈,"34동 311,312호",
생체 시스템 공학 연구실,기계공학부,신용대,"301동 1206호, 313동 206호, 302동 412-A호",http://shinlab.snu.ac.kr
생체 제어 및 모델링,,김성완,의과대학 연건 캠퍼스 분관동 110호,http://bmc.snu.ac.kr
생체광학 및 나노공학 연구실,전기·정보공학부,권성훈,81동 229호,http://binel.snu.ac.kr
생체모방 재료 및 줄기세포 공학 연구실,화학생물공학부,황석연,302동 614호,http://bmsce.snu.ac.kr
생체모방골형성 연구실,,황순정,생체연구동 601호,http://plaza.snu.ac.kr/~sjhwang/
생체분자나노재료연구실,재료공학부,남기태,31-317,http://www.nkitae.org/
생체신호정보 연구실,협동과정바이오엔지니어링전공,박광석,서울대학교병원,http://bmsildb.snu.ac.kr
생체재료 및 면역공학 연구실,재료공학부,도준상,"131-313,314,317",http://bmie.snu.ac.kr/
생체재료공정연구실,,최영빈,서울대학교 의과대학 연구동 716호,http://bpal.snu.ac.kr
석유공학연구실,에너지자원공학과,"최종근, 정훈영","38동 325호, 326호",http://petro.snu.ac.kr
선박소음진동연구실,조선해양공학과,홍석윤,"34동 309,310호",http://snovil.snu.ac.kr/
선박저항성능연구실,조선해양공학과,이신형,42동 106호,http://snutt.snu.ac.kr/
