시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기일자,거래유형,중개사소재지
서울특별시 강남구 개포동,651-1,0651,0001,개포더샵트리에,105.8064,202306,29,"       240,000",8,2021,개포로 311,, ,중개거래,"서울 강남구, 서울 송파구"
서울특별시 강남구 개포동,1282,1282,0000,개포래미안포레스트,84.83,202306,1,"       234,000",2,2020,개포로 264,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0000,개포래미안포레스트,84.86,202306,3,"       233,500",3,2020,개포로 264,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0000,개포래미안포레스트,74.66,202306,6,"       220,000",24,2020,개포로 264,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0000,개포래미안포레스트,84.83,202306,7,"       238,000",4,2020,개포로 264,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0000,개포래미안포레스트,49.92,202306,8,"       154,000",7,2020,개포로 264,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0000,개포래미안포레스트,74.66,202306,8,"       219,000",17,2020,개포로 264,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0000,개포래미안포레스트,49.92,202306,13,"       160,000",8,2020,개포로 264,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0000,개포래미안포레스트,59.92,202306,14,"       184,000",7,2020,개포로 264,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0000,개포래미안포레스트,59.92,202306,19,"       183,000",16,2020,개포로 264,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0000,개포래미안포레스트,49.92,202306,19,"       150,000",10,2020,개포로 264,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0000,개포래미안포레스트,59.92,202306,21,"       185,000",6,2020,개포로 264,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0000,개포래미안포레스트,84.86,202306,26,"       243,000",13,2020,개포로 264,, ,중개거래,서울 동작구
서울특별시 강남구 개포동,1282,1282,0000,개포래미안포레스트,49.92,202306,30,"       161,000",14,2020,개포로 264,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,189,0189,0000,개포자이프레지던스,78.33,202306,30,"       279,250",9,2023,삼성로 14,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,185,0185,0000,개포주공6단지,60.13,202306,9,"       190,000",13,1983,개포로 516,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,185,0185,0000,개포주공6단지,60.13,202306,9,"       197,000",12,1983,개포로 516,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,185,0185,0000,개포주공6단지,83.21,202306,15,"       249,500",1,1983,개포로 516,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,185,0185,0000,개포주공7단지,83.7,202306,7,"       239,500",1,1983,개포로 516,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,185,0185,0000,개포주공7단지,60.76,202306,14,"       195,000",12,1983,개포로 516,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,649,0649,0000,경남2차,149.21,202306,12,"       284,000",15,1984,언주로 110,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,138,0138,0000,디에이치아너힐즈,84.3558,202306,4,"       297,000",9,2019,삼성로 11,, ,중개거래,서울 강남구
서울특별시 강남구 개포동,138,0138,0000,디에이치아너힐즈,76.1709,202306,12,"       262,000",13,2019,삼성로 11,, ,중개거래,서울 강남구
