시군구,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 강남구 개포동,개포래미안포레스트,59.92,202307,5,"187,000",5,2020,개포로 264
서울특별시 강남구 개포동,개포자이프레지던스,59.98,202307,25,"190,000",5,2023,삼성로 14
서울특별시 강남구 개포동,개포주공6단지,83.21,202307,2,"261,000",11,1983,개포로 516
서울특별시 강남구 개포동,개포주공7단지,73.26,202307,4,"238,000",9,1983,개포로 516
서울특별시 강남구 개포동,디에이치아너힐즈,84.357,202307,10,"280,000",8,2019,삼성로 11
서울특별시 강남구 개포동,래미안블레스티지,126.928,202307,3,"430,000",26,2019,선릉로 8
서울특별시 강남구 개포동,래미안블레스티지,84.94,202307,5,"270,000",17,2019,선릉로 8
서울특별시 강남구 개포동,래미안블레스티지,84.94,202307,7,"262,000",5,2019,선릉로 8
서울특별시 강남구 개포동,래미안블레스티지,84.943,202307,8,"269,000",13,2019,선릉로 8
서울특별시 강남구 개포동,래미안블레스티지,59.837,202307,9,"202,000",12,2019,선릉로 8
서울특별시 강남구 개포동,래미안블레스티지,84.943,202307,12,"265,000",4,2019,선릉로 8
서울특별시 강남구 개포동,래미안블레스티지,84.94,202307,28,"275,000",27,2019,선릉로 8
서울특별시 강남구 개포동,래미안블레스티지,84.94,202307,29,"275,000",3,2019,선릉로 8
서울특별시 강남구 개포동,삼익대청아파트,51.12,202307,14,"132,000",11,1992,개포로109길 21
서울특별시 강남구 개포동,성원대치2단지아파트,33.18,202307,15,"99,000",9,1992,개포로109길 9
서울특별시 강남구 개포동,성원대치2단지아파트,49.86,202307,21,"129,000",1,1992,개포로109길 9
서울특별시 강남구 개포동,성원대치2단지아파트,49.86,202307,22,"129,000",1,1992,개포로109길 9
서울특별시 강남구 개포동,현대1차101동~106동,95.4,202307,28,"212,000",10,1984,개포로 303
서울특별시 강남구 논현동,동현아파트1~6,84.92,202307,1,"209,000",6,1985,언주로146길 18
서울특별시 강남구 논현동,동현아파트1~6,84.92,202307,21,"203,000",4,1985,언주로146길 18
서울특별시 강남구 논현동,동현아파트1~6,84.92,202307,27,"206,000",14,1985,언주로146길 18
서울특별시 강남구 논현동,한양수자인어반게이트,16.2,202307,10,"21,000",5,2013,봉은사로29길 35
서울특별시 강남구 대치동,개포우성1,84.81,202307,11,"295,000",11,1983,선릉로 120
서울특별시 강남구 대치동,대우아이빌멤버스(891-26),35.796,202307,8,"30,000",8,2003,삼성로85길 42
서울특별시 강남구 대치동,대치SKVIEW,93.4,202307,18,"320,000",4,2017,삼성로51길 25
서울특별시 강남구 대치동,대치삼성,59.88,202307,1,"166,000",5,2000,도곡로78길 22
서울특별시 강남구 대치동,"대치우성아파트1동,2동,3동,5동,6동,7동",115.59,202307,9,"263,000",7,1984,영동대로 230
서울특별시 강남구 대치동,"대치우성아파트1동,2동,3동,5동,6동,7동",115.59,202307,15,"270,000",3,1984,영동대로 230
서울특별시 강남구 대치동,대치현대,85,202307,12,"205,000",5,1999,삼성로64길 5
서울특별시 강남구 대치동,동부센트레빌,145.83,202307,11,"459,000",20,2005,선릉로 206
서울특별시 강남구 대치동,동부센트레빌,145.83,202307,11,"459,000",20,2005,선릉로 206
서울특별시 강남구 대치동,래미안대치팰리스,94.48,202307,5,"360,000",21,2015,삼성로51길 37
서울특별시 강남구 대치동,래미안대치팰리스,151.27,202307,6,"445,000",14,2015,삼성로51길 35
서울특별시 강남구 대치동,래미안대치팰리스,94.5,202307,7,"350,000",15,2015,삼성로51길 37
서울특별시 강남구 대치동,래미안대치팰리스,94.49,202307,12,"355,000",12,2015,삼성로51길 37
서울특별시 강남구 대치동,래미안대치팰리스,84.97,202307,13,"310,000",18,2015,삼성로51길 37
서울특별시 강남구 대치동,래미안대치팰리스,84.97,202307,13,"310,000",14,2015,삼성로51길 37
서울특별시 강남구 대치동,선경2차(8동-12동),84.55,202307,5,"284,000",5,1985,삼성로 151
서울특별시 강남구 대치동,"쌍용대치아파트1동,2동,3동,5동,6동",128.03,202307,13,"315,000",9,1983,영동대로 210
서울특별시 강남구 대치동,"쌍용대치아파트1동,2동,3동,5동,6동",128.03,202307,20,"300,000",4,1983,영동대로 210
서울특별시 강남구 대치동,은마,76.79,202307,1,"225,000",14,1979,삼성로 212
서울특별시 강남구 대치동,은마,84.43,202307,7,"265,000",5,1979,삼성로 212
서울특별시 강남구 대치동,은마,76.79,202307,10,"226,000",12,1979,삼성로 212
서울특별시 강남구 대치동,은마,84.43,202307,10,"248,000",12,1979,삼성로 212
서울특별시 강남구 대치동,은마,76.79,202307,12,"222,500",7,1979,삼성로 212
서울특별시 강남구 대치동,은마,84.43,202307,14,"244,000",1,1979,삼성로 212
서울특별시 강남구 대치동,은마,84.43,202307,20,"264,000",9,1979,삼성로 212
서울특별시 강남구 대치동,한보미도맨션1,128.01,202307,4,"350,000",9,1983,삼성로 150
서울특별시 강남구 대치동,한보미도맨션1,84.48,202307,24,"270,000",5,1983,삼성로 150
서울특별시 강남구 대치동,한보미도맨션2,84.96,202307,1,"270,000",5,1985,삼성로 150
서울특별시 강남구 대치동,한보미도맨션2,126.33,202307,1,"342,000",14,1985,삼성로 150
서울특별시 강남구 도곡동,SK허브프리모,67.57,202307,1,"90,700",13,2006,강남대로 240
서울특별시 강남구 도곡동,SK허브프리모,33.8,202307,30,"41,000",17,2006,강남대로 240
서울특별시 강남구 도곡동,대우디오빌,31.81,202307,4,"28,800",6,2004,강남대로 256
서울특별시 강남구 도곡동,도곡렉슬,134.9023,202307,3,"415,000",8,2006,선릉로 221
서울특별시 강남구 도곡동,도곡렉슬,84.9984,202307,4,"274,000",4,2006,선릉로 221
