시군구,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
서울특별시 강남구 개포동,개포6차우성아파트1동~8동,전세,79.97,202307,"        42,000",             0,5,1987,언주로 3,202308~202508,갱신,-,"42,000",0
서울특별시 강남구 개포동,개포6차우성아파트1동~8동,전세,79.97,202307,"        44,100",             0,1,1987,언주로 3,-,-,-, , 
서울특별시 강남구 개포동,개포더샵트리에,전세,105.8064,202307,"       128,000",             0,3,2021,개포로 311,202310~202510,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,전세,59.92,202307,"        98,000",             0,12,2020,개포로 264,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,월세,84.86,202307,"        80,000",           110,10,2020,개포로 264,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,전세,49.92,202307,"        80,000",             0,9,2020,개포로 264,-,-,-, , 
서울특별시 강남구 개포동,개포래미안포레스트,월세,84.86,202307,"        10,000",           480,10,2020,개포로 264,202307~202507,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,전세,59.92,202307,"        93,000",             0,12,2020,개포로 264,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,전세,59.92,202307,"        90,000",             0,15,2020,개포로 264,202310~202510,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,월세,49.92,202307,"        10,000",           280,4,2020,개포로 264,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,월세,59.92,202307,"        50,000",           150,15,2020,개포로 264,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,전세,59.92,202307,"        92,000",             0,12,2020,개포로 264,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,월세,84.83,202307,"        85,000",           130,5,2020,개포로 264,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,월세,74.66,202307,"        30,000",           300,19,2020,개포로 264,202307~202507,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,전세,112.73,202307,"       175,000",             0,2,2020,개포로 264,202307~202507,갱신,-,"175,000",0
서울특별시 강남구 개포동,개포래미안포레스트,월세,96.91,202307,"       100,000",           150,13,2020,개포로 264,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,전세,74.66,202307,"       103,000",             0,20,2020,개포로 264,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,전세,74.66,202307,"       103,000",             0,20,2020,개포로 264,-,-,-, , 
서울특별시 강남구 개포동,개포래미안포레스트,월세,74.66,202307,"        10,000",           400,12,2020,개포로 264,-,-,-, , 
서울특별시 강남구 개포동,개포래미안포레스트,월세,74.66,202307,"        10,000",           400,12,2020,개포로 264,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,월세,84.86,202307,"        50,500",           210,3,2020,개포로 264,-,-,-, , 
서울특별시 강남구 개포동,개포래미안포레스트,전세,59.92,202307,"        90,000",             0,8,2020,개포로 264,202310~202510,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,월세,84.86,202307,"        50,500",           210,3,2020,개포로 264,202308~202501,갱신,사용,"50,000",210
서울특별시 강남구 개포동,개포래미안포레스트,월세,102.32,202307,"        80,000",           340,27,2020,개포로 264,202310~202510,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,월세,102.32,202307,"        80,000",           340,27,2020,개포로 264,-,-,-, , 
서울특별시 강남구 개포동,개포래미안포레스트,전세,74.66,202307,"       107,000",             0,22,2020,개포로 264,202310~202510,신규,-,0,0
서울특별시 강남구 개포동,개포래미안포레스트,월세,84.86,202307,"        60,000",           210,12,2020,개포로 264,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,개포우성3차,전세,104.43,202307,"        62,500",             0,11,1984,개포로 307,202307~202507,갱신,-,"57,750",0
서울특별시 강남구 개포동,개포우성3차,전세,104.43,202307,"        60,000",             0,7,1984,개포로 307,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,개포우성3차,전세,104.43,202307,"        65,000",             0,9,1984,개포로 307,202309~202509,갱신,-,"57,750",0
서울특별시 강남구 개포동,개포우성3차,전세,104.43,202307,"        58,800",             0,12,1984,개포로 307,202308~202508,갱신,-,"58,800",0
서울특별시 강남구 개포동,개포자이프레지던스,전세,114.81,202307,"       200,000",             0,32,2023,삼성로 14,202308~202602,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        27,696",            13,7,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,전세,114.81,202307,"       165,000",             0,13,2023,삼성로 14,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        26,304",            12,6,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,102.76,202307,"        70,000",           380,2,2023,삼성로 14,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,84.6,202307,"        50,000",           350,6,2023,삼성로 14,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,102.58,202307,"       100,000",           210,10,2023,삼성로 14,202307~202503,-,-, , 
서울특별시 강남구 개포동,개포자이프레지던스,월세,84.75,202307,"        20,000",           440,32,2023,삼성로 14,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,39.95,202307,"        24,272",            11,4,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        27,696",            13,5,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,39.95,202307,"        13,240",            60,7,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        27,696",            13,4,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        27,696",            13,12,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,39.95,202307,"        24,272",            11,6,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        20,220",            50,12,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        27,696",            13,1,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        27,696",            13,1,2023,삼성로 14,-,신규,-,0,0
