id,pub_year,name,organization,degree,org_name,org_organization,thesis_id,title
1100025,2018,이연정,순천향대학교,박사,이연정,순천향대학교 대학원,KDMT1201859145,"부모의 스트레스, 우울감, 자살사고가 청소년의 자살사고에 미치는 영향"
244518,2011,김동국,계명대학교,박사,김동국,계명대학교 대학원,KDMT1201143608,연암 박지원의 『열하일기』를 통해서 본 한중문화교류 연구 : 문화커뮤니케이션을 중심으로
643687,2001,박영운,충남대학교,석사,박영운,충남대학교 대학원,KDMT1200105273,"Functional characterization of an yeast oxysterol-binding protein, Osh3p, during nuclear fusion and pseudohyphal growth"
686797,2013,박진영,이화여자대학교,석사,박진영,이화여자대학교 대학원,KDMT1201301802,"The u-field test, a novel behavioral test suitable to measure sociability of mice"
959738,2018,유창,원광대학교,석사,劉 暢,원광대학교 대학원,KDMT1201856227,중국 대학교의 R&D 효율성 분석에 관한 연구 : 초효율성 모형과 Super-SBM 모형을 이용한 비교연구를 중심으로
382815,2009,김윤정,부경대학교,석사,김윤정,부경대학교 교육대학원,KDMT1200950250,무선 가입자망 환경에서 QoS가 영상 서비스 품질에 미치는 영향에 관한 연구
1615596,2002,현을생,제주대학교,석사,현을생,제주대학교 행정대학원,KDMT1200210551,제주도문화재 보존과 활용이 지역발전에 미치는 영향에 관한 연구
1510294,2008,최용욱,홍익대학교,석사,최용욱,홍익대학교 대학원,KDMT1200858757,Ti:PPLN 채널 광도파로 소자를 이용한 Solc-Filter에 관한 연구
1622254,2011,홍석준,서울대학교,석사,홍석준,서울대학교 대학원,KDMT1201156131,약물의 유효치료농도 유지를 위한 약물전달시스템
636528,2017,박승남,장로회신학대학교,석사,박승남,장로회신학대학교 대학원,KDMT1201767231,플랫폼 선교를 통한 중국선교
1534720,2015,최진하,한양대학교,석사,최진하,한양대학교 교육대학원,KDMT1201508868,일터 안의 사회적 힐링을 위한 실존적 주체의 학습과정 탐구
699126,2002,박현례,숙명여자대학교,석사,박현례,숙명여자대학교 교육대학원,KDMT1200249972,초등학생 고학년의 과외수업 실태 조사연구
1584764,2005,한상희,충북대학교,석사,한상희,충북대학교 교육대학원,KDMT1200510719,표준의학용어 추천시스템의 설계 및 구현
705825,2017,박혜진,경북대학교,석사,박혜진,경북대학교 대학원,KDMT1201754355,청년 미술가들의 SNS 활용과 정체성 갈등
