Date,Open,High,Low,Close,Adj Close,Volume
2022-08-15,34.529999,35.139999,33.320000,33.580002,32.790554,15279900
2022-08-16,34.110001,35.759998,33.689999,34.619999,33.806107,20076900
2022-08-17,36.160000,38.599998,36.099998,37.250000,36.374279,23410400
2022-08-18,36.919998,37.320000,33.759998,34.619999,33.806107,24490500
2022-08-19,35.990002,37.970001,35.509998,37.490002,36.608635,21434300
2022-08-22,39.709999,42.200001,39.500000,41.720001,40.739193,19466000
2022-08-23,41.639999,41.869999,39.099998,40.830002,39.870117,15814100
2022-08-24,41.049999,42.220001,40.279999,40.750000,39.791996,13751500
2022-08-25,40.680000,40.680000,36.110001,36.110001,35.261078,21301900
2022-08-26,36.439999,42.580002,36.200001,42.490002,41.491093,25035500
2022-08-29,43.830002,45.200001,42.259998,44.990002,43.932316,20354000
2022-08-30,43.630001,48.180000,43.400002,46.720001,45.621647,23692400
2022-08-31,45.910000,49.259998,45.910000,48.110001,46.978966,18322100
2022-09-01,51.529999,55.160000,50.700001,50.900002,49.703373,23268600
2022-09-02,48.439999,53.110001,47.310001,52.470001,51.236469,20764400
2022-09-06,52.020000,55.450001,51.540001,54.049999,52.779320,15360600
2022-09-07,53.830002,54.860001,50.099998,51.419998,50.211147,13805200
2022-09-08,52.840000,53.990002,48.340000,48.759998,47.613682,16842000
2022-09-09,46.750000,46.970001,44.660000,45.270000,44.205730,19985100
2022-09-12,44.759998,46.400002,44.080002,44.779999,43.727249,15245000
2022-09-13,49.880001,53.560001,48.830002,53.139999,51.890713,25681000
2022-09-14,52.240002,53.730000,50.180000,51.200001,49.996323,20160300
2022-09-15,52.330002,54.930000,50.520000,53.689999,52.427784,23758400
2022-09-16,55.439999,56.919998,52.750000,52.889999,51.646591,17857100
2022-09-19,54.950001,55.090000,51.290001,52.009998,50.787277,12805600
2022-09-20,53.599998,55.410000,52.830002,54.389999,53.111328,10509800
2022-09-21,53.950001,55.750000,48.610001,55.669998,54.361237,20597100
2022-09-22,56.820000,61.369999,56.099998,60.439999,59.019093,15389600
2022-09-23,62.900002,66.099998,62.090000,63.000000,61.518913,17142400
2022-09-26,63.590000,66.050003,60.570000,65.769997,64.223793,12041300
2022-09-27,62.369999,66.800003,60.630001,63.709999,62.212215,12024800
2022-09-28,65.440002,66.250000,60.389999,61.250000,59.810051,13377900
2022-09-29,64.459999,69.760002,64.110001,67.089996,65.512749,15349300
2022-09-30,69.709999,70.730003,64.370003,70.730003,69.067192,13823300
2022-10-03,67.849998,69.570000,60.580002,62.709999,61.235725,14764300
2022-10-04,57.389999,57.500000,53.990002,54.200001,52.925793,15983700
2022-10-05,56.820000,58.299999,51.279999,52.720001,51.480587,19047300
