,Date,Open_NVDA,High_NVDA,Low_NVDA,Close_NVDA,Adj Close_NVDA,Volume_NVDA,rate_of_return_NVDA,diff_NVDA,hl_diff_NVDA,Prev_Close_NVDA,Prev_ror_NVDA,Prev_diff_NVDA,Prev_Volume_NVDA,ror_day_NVDA,Open_SOXL,High_SOXL,Low_SOXL,Close_SOXL,Adj Close_SOXL,Volume_SOXL,rate_of_return_SOXL,diff_SOXL,hl_diff_SOXL,Prev_Close_SOXL,Prev_ror_SOXL,Prev_diff_SOXL,Prev_Volume_SOXL,ror_day_SOXL,Open_SOXS,High_SOXS,Low_SOXS,Close_SOXS,Adj Close_SOXS,Volume_SOXS,rate_of_return_SOXS,diff_SOXS,hl_diff_SOXS,Prev_Close_SOXS,Prev_ror_SOXS,Prev_diff_SOXS,Prev_Volume_SOXS,ror_day_SOXS,Open_TQQQ,High_TQQQ,Low_TQQQ,Close_TQQQ,Adj Close_TQQQ,Volume_TQQQ,rate_of_return_TQQQ,diff_TQQQ,hl_diff_TQQQ,Prev_Close_TQQQ,Prev_ror_TQQQ,Prev_diff_TQQQ,Prev_Volume_TQQQ,ror_day_TQQQ
0,2022-08-17,185.229996,186.880005,181.449997,183.350006,183.198578,44679900,-1.014949004,-1.87999,5.430008,,,,,,20.18,20.200001,18.709999,19.549999,19.357834,67988800,-3.12190783,-0.630001,1.490002,,,,,,36.16,38.599998,36.099998,37.25,36.374275,23410400,3.014380531,1.09,2.5,,,,,,37.509998,38.330002,36.549999,37.299999,36.776024,131419200,-0.55984807,-0.209999,1.780003,,,,,
1,2022-08-18,183.009995,188.649994,181.830002,187.729996,187.574951,41544700,2.579094655,4.720001,6.819992,183.350006,-1.014949004,-1.87999,44679900,-0.185443681,19.719999,21.360001,19.5,20.889999,20.684662,50790800,5.933063181,1.17,1.860001,19.549999,-3.12190783,-0.630001,67988800,0.869565262,36.919998,37.32,33.759998,34.619999,33.806103,24490500,-6.229683436,-2.299999,3.560002,37.25,3.014380531,1.09,23410400,-0.885911409,37.259998,37.959999,36.689999,37.549999,37.022511,96070400,0.778317272,0.290001,1.27,37.299999,-0.55984807,-0.209999,131419200,-0.10724129
2,2022-08-19,184.059998,185.199997,177.699997,178.490005,178.342606,44158800,-3.026183343,-5.569993,7.5,187.729996,2.579094655,4.720001,41544700,-1.954934256,20.059999,20.379999,18.889999,19.17,18.981571,49700800,-4.436685166,-0.889999,1.49,20.889999,5.933063181,1.17,50790800,-3.973193105,35.990002,37.970001,35.509998,37.490002,36.608639,21434300,4.167824164,1.5,2.460003,34.619999,-6.229683436,-2.299999,24490500,3.957258924,36.48,36.700001,35.07,35.349998,34.853413,112128300,-3.097593202,-1.130002,1.630001,37.549999,0.778317272,0.290001,96070400,-2.849531367
3,2022-08-22,174.899994,175.580002,169.660004,170.339996,170.19931,40959300,-2.607203063,-4.559998,5.919998,178.490005,-3.026183343,-5.569993,44158800,-2.011323267,18.1,18.15,16.77,17.040001,16.872507,51389400,-5.856348066,-1.059999,1.38,19.17,-4.436685166,-0.889999,49700800,-5.581637976,39.709999,42.200001,39.5,41.720001,40.739193,19466000,5.061702469,2.010002,2.700001,37.490002,4.167824164,1.5,21434300,5.92157077,33.889999,33.970001,32.259998,32.57,32.112469,112487700,-3.894951428,-1.319999,1.710003,35.349998,-3.097593202,-1.130002,112128300,-4.130124703
4,2022-08-23,169.889999,174.649994,169.699997,171.809998,171.668106,36998600,1.130142452,1.919999,4.949997,170.339996,-2.607203063,-4.559998,40959300,-0.264175772,17.08,18.059999,17.01,17.33,17.159657,49723200,1.463700234,0.25,1.049999,17.040001,-5.856348066,-1.059999,51389400,0.234735902,41.639999,41.869999,39.099998,40.830002,39.870113,15814100,-1.945237799,-0.809997,2.770001,41.720001,5.061702469,2.010002,19466000,-0.191759343,32.43,33.349998,32.200001,32.459999,32.004017,109754900,0.092503854,0.029999,1.149997,32.57,-3.894951428,-1.319999,112487700,-0.429843414
5,2022-08-24,170.119995,174.059998,168.949997,172.220001,172.077759,52266100,1.234426324,2.100006,5.110001,171.809998,1.130142452,1.919999,36998600,-0.983646481,17.25,17.59,16.77,17.41,17.238871,42087500,0.927536232,0.16,0.82,17.33,1.463700234,0.25,49723200,-0.461627236,41.049999,42.220001,40.279999,40.75,39.791996,13751500,-0.73081366,-0.299999,1.940002,40.830002,-1.945237799,-0.809997,15814100,0.538812122,32.299999,33.299999,32.099998,32.709999,32.2505,93502800,1.269349885,0.41,1.200001,32.459999,0.092503854,0.029999,109754900,-0.492914371
6,2022-08-25,168.440002,179.470001,168.330002,179.130005,178.982056,77069100,6.346475227,10.690003,11.139999,172.220001,1.234426324,2.100006,52266100,-2.194866437,17.459999,19.379999,17.42,19.32,19.130095,58659800,10.6529273,1.860001,1.959999,17.41,0.927536232,0.16,42087500,0.287185526,40.68,40.68,36.110001,36.110001,35.261078,21301900,-11.23401917,-4.569999,4.569999,40.75,-0.73081366,-0.299999,13751500,-0.171779141,33.279999,34.439999,32.939999,34.43,33.946342,111026300,3.455531955,1.150001,1.5,32.709999,1.269349885,0.41,93502800,1.742586418
7,2022-08-26,178.570007,179.240005,162.369995,162.600006,162.465714,76912700,-8.943271756,-15.970001,16.87001,179.130005,6.346475227,10.690003,77069100,-0.312620993,19.25,19.33,15.95,15.98,15.822926,84676900,-16.98701299,-3.27,3.38,19.32,10.6529273,1.860001,58659800,-0.362318841,36.439999,42.580002,36.200001,42.490002,41.491093,25035500,16.60264316,6.050003,6.380001,36.110001,-11.23401917,-4.569999,21301900,0.913868709,34.349998,34.740002,30.200001,30.24,29.815199,183138300,-11.96506038,-4.109998,4.540001,34.43,3.455531955,1.150001,111026300,-0.232361313
8,2022-08-29,160.199997,163.380005,157.669998,158.009995,157.879517,49613200,-1.367042473,-2.190002,5.710007,162.600006,-8.943271756,-15.970001,76912700,-1.476020241,15.48,16.049999,14.95,15.05,14.902067,61062700,-2.777777778,-0.43,1.099999,15.98,-16.98701299,-3.27,84676900,-3.128911139,43.830002,45.200001,42.259998,44.990002,43.932316,20354000,2.646588973,1.16,2.940003,42.490002,16.60264316,6.050003,25035500,3.153683071,29.35,30.120001,28.959999,29.309999,28.898264,124220500,-0.136289608,-0.040001,1.160002,30.24,-11.96506038,-4.109998,183138300,-2.943121693
9,2022-08-30,159.600006,160.389999,151.820007,154.679993,154.552246,53018100,-3.082714796,-4.920013,8.569992,158.009995,-1.367042473,-2.190002,49613200,1.00627242,15.5,15.57,13.96,14.47,14.327769,77063100,-6.64516129,-1.03,1.61,15.05,-2.777777778,-0.43,61062700,2.990033223,43.630001,48.18,43.400002,46.720001,45.621647,23692400,7.082282671,3.09,4.779998,44.990002,2.646588973,1.16,20354000,-3.022896065,29.790001,29.950001,27.559999,28.33,27.932032,163507400,-4.900976673,-1.460001,2.390002,29.309999,-0.136289608,-0.040001,124220500,1.637673205
