구,count,mean,std,min,25%,50%,75%,max
강남구,163.0,177879.93865030675,84773.71743223342,21000.0,106000.0,172000.0,223250.0,580000.0
강동구,200.0,100076.4,27508.186173807775,10500.0,81975.0,100500.0,117250.0,200000.0
강북구,36.0,56915.833333333336,20463.49074746116,9500.0,49250.0,59500.0,68500.0,99000.0
강서구,148.0,76589.7972972973,27963.806989020228,8200.0,59742.5,72000.0,91062.5,164000.0
관악구,46.0,63778.260869565216,29251.005020101282,12500.0,33000.0,71250.0,88250.0,105500.0
광진구,46.0,103986.95652173914,43944.90797803618,13700.0,87375.0,105350.0,123375.0,218000.0
구로구,95.0,59877.26315789474,30219.446938702822,9500.0,42000.0,60000.0,75000.0,159000.0
금천구,31.0,61606.45161290323,23331.679972144753,15500.0,46500.0,59000.0,77250.0,97200.0
노원구,176.0,58214.204545454544,20063.178709642823,10800.0,44375.0,57300.0,67750.0,130000.0
도봉구,101.0,49868.316831683165,16420.59640021074,12000.0,36000.0,48700.0,55000.0,110000.0
동대문구,102.0,67421.56862745098,27116.87439073623,8000.0,57000.0,68500.0,84875.0,125000.0
동작구,61.0,92188.52459016393,37585.7734537979,12900.0,77000.0,96000.0,118000.0,180000.0
마포구,87.0,105177.01149425287,40428.221495516766,12000.0,80500.0,104500.0,136500.0,200000.0
서대문구,91.0,81663.72527472528,30516.271371576306,14000.0,64500.0,76000.0,105250.0,158500.0
서초구,67.0,215552.23880597015,98278.51788791454,29500.0,160300.0,200000.0,271500.0,530000.0
성동구,84.0,106191.07142857143,28737.927963885766,17000.0,86000.0,104900.0,127625.0,190000.0
성북구,144.0,69451.38888888889,20414.60119898114,16400.0,57750.0,72750.0,80000.0,137000.0
송파구,236.0,148318.05084745763,52313.40297335589,11000.0,102875.0,158250.0,182000.0,340000.0
양천구,114.0,97542.1052631579,44315.30807793081,21000.0,67450.0,92850.0,120000.0,288000.0
영등포구,98.0,88512.14285714286,50178.56580747246,8000.0,69250.0,89900.0,110000.0,257000.0
용산구,19.0,179268.42105263157,120588.89322649348,16000.0,93000.0,159000.0,243900.0,450000.0
은평구,91.0,66296.9010989011,27176.655755774806,11000.0,51000.0,70000.0,84250.0,185000.0
종로구,21.0,95621.42857142857,61733.20940026643,11700.0,45000.0,74000.0,141000.0,189000.0
중구,29.0,84158.62068965517,52443.73527370194,12600.0,35300.0,90000.0,101000.0,225000.0
중랑구,53.0,55742.45283018868,24485.12381219857,9500.0,40000.0,53000.0,65000.0,149000.0
