,조회연도,기업명,안정성유동비율,자기자본구성비율,부채비율,매출액순이익율,자기자본순이익율,매출액영업이익율,총자산순이익율,총자산회전율,자기자본회전율,총수지비율,경상수지비율,영업수지비율,영업수익,영업비용,영업이익,영업외수익,영업외비용,법인세차감전이익,법인세등,당기순이익,지자체,수도권여부,지역,설립기관,운영구분,공기업유형
3,2014,장수한우지방공사,245.79,81.6,22.55,16.33,11.53,-7.81,9.41,0.58,0.71,114.61,117.68,92.75,2682,2892,-210,754,28,516,78,438,기초,비수도권,전라북도,전라북도 장수군,간접,기타공사
4,2015,장수한우지방공사,411.39,88.89,12.5,7.72,5.76,-0.18,5.12,0.66,0.75,107.6,108.73,99.82,4508,4266,242,391,3,630,47,583,기초,비수도권,전라북도,전라북도 장수군,간접,기타공사
5,2016,장수한우지방공사,542.21,90.78,10.16,7.12,5.07,-0.26,4.6,0.65,0.71,106.98,108.15,99.74,4536,4548,-12,415,30,373,50,323,기초,비수도권,전라북도,전라북도 장수군,간접,기타공사
6,2017,장수한우지방공사,416.89,87.11,14.79,1.64,1.14,-9.36,0.99,0.61,0.7,101.49,101.65,91.44,4488,4908,-420,540,38,82,8,74,기초,비수도권,전라북도,전라북도 장수군,간접,기타공사
7,2018,장수한우지방공사,341.8,81.87,22.14,0.89,0.61,-2.62,0.5,0.56,0.68,100.86,100.88,97.45,4883,5011,-128,226,55,43,0,43,기초,비수도권,전라북도,전라북도 장수군,간접,기타공사
8,2019,장수한우지방공사,427.43,85.36,17.16,1.14,0.82,-1.81,0.7,0.62,0.72,101.11,101.21,98.23,5202,5296,-94,185,27,64,5,59,기초,비수도권,전라북도,전라북도 장수군,간접,기타공사
9,2020,장수한우지방공사,336.25,80.18,24.72,-22.74,-16.29,-20.72,-13.06,0.57,0.72,82.13,82.13,82.84,5132,6195,-1063,233,337,0,0,-1167,기초,비수도권,전라북도,전라북도 장수군,간접,기타공사
13,2014,김해시도시개발공사,419.62,74.8,33.69,0.02,0.04,0.04,0.03,1.36,1.82,97.82,97.82,97.26,27481,27633,-152,179,20,7,1,6,기초,비수도권,경상남도,경상남도 김해시,간접,기타공사
14,2015,김해시도시개발공사,210.46,52.49,90.51,-0.18,-0.24,-0.21,-0.13,0.81,1.31,99.84,99.84,99.02,39654,40046,-392,329,2,-65,8,-73,기초,비수도권,경상남도,경상남도 김해시,간접,기타공사
15,2016,김해시도시개발공사,165.79,60.05,66.5,-0.51,-0.37,-0.36,-0.21,0.57,1,99.51,99.51,98.34,47063,47853,-790,560,0,-230,8,-238,기초,비수도권,경상남도,경상남도 김해시,간접,기타공사
16,2017,김해시도시개발공사,170.38,60.47,65.37,4.8,5.47,5.62,3.3,0.69,1.14,105.02,106.36,105.96,75131,70906,4225,283,0,4508,901,3607,기초,비수도권,경상남도,경상남도 김해시,간접,기타공사
17,2018,김해시도시개발공사,747.81,70.94,40.96,4.49,4.79,5.44,3.13,0.7,1.07,104.68,106.06,105.75,74391,70343,4048,213,0,4261,924,3337,기초,비수도권,경상남도,경상남도 김해시,간접,기타공사
18,2019,김해시도시개발공사,526.7,55.39,80.55,3.26,2.15,3.36,1.33,0.41,0.66,103.32,104.24,103.47,47561,45964,1597,595,235,1957,409,1548,기초,비수도권,경상남도,경상남도 김해시,간접,기타공사
19,2020,김해시도시개발공사,251.07,56.2,77.95,5.49,3.5,5.68,1.95,0.36,0.64,105.7,107.19,106.02,47240,44557,2683,866,322,3228,632,2596,기초,비수도권,경상남도,경상남도 김해시,간접,기타공사
