"ID","용역명","용역기간(시작)","용역기간(끝)","용역기관","필요성","연구개요"
"24337","공공건설 품질관리 및 품질 시험검정 개선방안 연구용역","2019-12-09","2020-03-31","(주)날리지웍스","○ 시책(양재R&D혁신지구 조성)에 따른 별관 검사시설 이전 설치의 적정 규모 및 장비수준 시급한 검토 필요 ○ 증가된 건설 품질의 요구 수준에 부합한 다양한 품질지도 및 분야 확대방안 검토 ○ 금년 KOLAS 재인증 예정으로 시험?검정 체계 재정립 및 시민에게 체감될 수 있는 시험?검정 지원 사업 마련","○ 양재R&D지구 조성에 따른 별관 검정시설 이전 신규 조성 규모 검토 ○ 부실공사 발생 시민의 품질요구 수준 향상 등 여건변화에 따른 공공 품질지도체계 재검토 ○ 현재 수행중인 시험(106종목 804항목)의 수요 재검토 및 체계 정비 및 민생지원 역할 확대방안 마련"
"22477","누리과정 개편에 따른 서울시어린이집 평가체계 개선 방안 연구","2019-06-24","2019-09-21","사단법인 한국생태유아교육연구소","○ 2020년부터 실시될 누리과정 및 표준보육과정의 개편과 함께 새로운 교육과정의 철학과 이론을 반영하는 평가제도의 개선이 필요함    - 지금까지 시행해온 평가인증은 중앙에서 획일화된 평가 지표를 제시하여 개별 어린이집의 상황과 여건을 고려하지 않는 방식    - 서울시의 평가방식을 변화하는 누리과정 및 표준보육과정에 적합하도록 개선하여 서울시 보육의 질적 도약을 도모   ○ 정책 변화에 선제적으로 대응할 수 있는 프로그램과 질적 다양성을 보장할 수 있는 평가제도 및 질 관리 시스템 개발     - 보육선진국의 어린이집 평가 체계 및 운영과정을 조사?분석하여 양질의 보육이 이루어질 수 있는 관리 방안 제안    - 개편된 누리과정을 반영하여 서울시 어린이집의 평가체계 및 질 관리 시스템의 개선 방안 제안    - 연구결과는 시범사업 실시를 위한 기초 제도로 활용한 후 수정&#8231;  보완을 거쳐 정책변화에 따른 평가 등에 활용","○ 국내 어린이집 평가체계 및 질 관리 관련 선행연구 결과 분석  ○ 1990년대 이후 스웨덴 독일 영국 뉴질랜드 일본의 어린이집 평가 체계 및 질 관리(Monitering Quality) 시스템의 변천 과정과 배경을 조사하여 각 국의 질 관리 시스템의 특징 분석   - 보육시설 질 관리에 있어 중앙정부 지방자치단체 보육기관 부모의 역할과 그 관계 분석   - 보육시설 인가기준 및 행&#8231;재정적 지원 보육교사 자격관리 제도  ○ 현행 스웨덴 독일 영국 뉴질랜드 일본의 어린이집 평가제도 및 운영 시스템 조사   - 어린이집의 평가의 주체 평가 내용 평가영역 및 지표의 분석    - 어린이집의 책무성과 자율성의 경계를 유지하는 방식을 분석  ○ 현행 스웨덴 독일 영국 뉴질랜드 일본의 어린이집 질 관리 시스템의 강점과 약점 자국 내의 평가 비교 분석     - 현행 어린이집의 평가 체계에 대한 각국 내(현장 전문가)의 평가 조사"
"20717","주거용 집합건물 유형별 세대별 관리방법 연구","2019-05-09","2019-12-09","(사)한국주거서비스소사이어티대한주택관리사협회","○ 집합건물 관리 민원 및 분쟁 등 해소를 위해 구분소유자 합의로 만든 규약이 절대적으로 필요 ○ 집합건물 관리 문제에 선제적으로 대응하고 투명하고 효율적인 관리체계 구축을 위한 제도개선 및 정책방안 모색 필요","○ 연구기관 : 미정 ○ 연구기간 : 10개월(‘19.2~’19.11) ○ 연구내용   - 주거용 집합건물 현황분석 및 관리실태 조사   - 주거용 집합건물 관련 제도 현황 분석   - 해외사례 검토   - 주거용 집합건물 관련 제도 개선 방안   - 집합건물 관리체계 구축방안"
"22117","제2차 람사스습지 한강밤섬관리 기본계획수립 연구 용역","2019-03-15","2019-09-15","동국대학교 산학협력단","- 2012.6.21 람사르협약에 의한 람사르습지로 지정 등록 - 습지보전법 제9조(협약의 이행) 및 제11조(보전계획의 수립시행)","- 사 업 명 : 제2차 람사르습지 한강밤섬관리 기본계획 수립 연구용역 - 사업기간 : 6개월(3.20 ~9.15) - 주요연구내용 : 2014년 수립된 기본관리계획 추진사항에 대한 분석 및 평가 등을 종합하여 2020~2024년(5년) 기간에대한 기본계획 수립"
"21897","자원회수시설 주변영향지역 주민건강영향 조사-연구(6단계 1차)","2019-02-11","2019-12-07","연세대학교 산학협력단","- 공신력 있는 전문기관에서 장기 연구를 위한 지역 연구대상군을 구성하여 지속적으로 인체와 환경영향 모니터링 - 국내의 자원회수시설로 인한 인체와 환경모니터링 자료가 전무한 현실에서 객관성있는 국내 자료의 양산 및 구축 필요 - 생산된 자료를 주민과의 소통의 도구로 활용함으로써 주민들의 불안 및 불만을 해소하고 객관적 자료를 바탕으로 서울시 정책 자료로 활용","- 자원회수시설 주변 지역의 환경 및 인체영향 조사 - 혈중 유해 물질의 경향 분석 및 모니터링 - 합리적인 자원회수 시설의 관리방안 수립을 위한 자료 구축"
"20317","서울특별시 체육진흥기금 사업 평가지표 개발 및 시범평가","2018-11-15","2019-03-31","(주)웨슬리퀘스트","○ 서울시 체육진흥을 위하여 ’11년부터 운용하고 있는 체육진흥기금 사업에 대한 지속적 체계적 전문적 평가 미흡 ○ 서울시 체육진흥기금의 공공성 확보 및 체육진흥 기여 정책의 효율적 적용을 위해 성과평가 상세기준 마련 등 평가시스템 강화 필요","○ 체육진흥기금 사업별 평가지표 개발 및 평가체계 마련  ○ 개발한 평가지표에 따른 시범평가 실시 및 지표 개선?보완  ○ 성과평가 결과 분석을 통해 성과관리 방안 및 기금운용 전반에대한 정책방안 등 제시"
"19777","서울시 초등 방과후 돌봄체계 구축을 위한 기본계획 수립","2018-08-01","2018-12-28","서울대학교 산학협력단","ㅇ서울시의 특성을 반영한 마을단위 초등돌봄관련 기초조사가 거의 없음 ㅇ돌봄조성이 국정과제이며 시장님 핵심사업인 만큼 본 연구가 반드시 선행되어야 함 ※ 2018.4.1일 양육돌봄TF팀 구성 후 올 하반기 정식팀으로 조직신설 예정(시장방침 제2018-37호)","ㅇ초등돌봄에 대한 수요 파악 및 지역아동센터 등 마을단위 초등돌봄에 대한 실태조사 ㅇ마을중심의 서울시 초등돌봄 체계 구축와 이를 위한 지자체 중심의 콘트롤타워 운영에 대한 중장기적 정책 방향 제시 및 서울시 초등 방과후 돌봄체계 구축 기본계획 수립 관련 정책 과제 제언"
"19177","공공산업지원시설(M-허브센터) 운영 및 기업지원 방안 연구용역","2018-07-23","2019-02-28","서울연구원","○ 마곡산업단지 내 강소기업 연구공간 제공 Post-BI 창업보육 기술평가?거래 및 사업화 등 공공산업지원시설     세부 운영계획과 기업지원 방안 필요   - 연구중심 강소기업 입주자격 선정 가이드라인 창업보육     - 기술금융 사업화지원 등 지원프로그램 도입 ○ 마곡형 지식산업센터 건립계획에 따라 지식산업센터의 허브기능과 융복합 산업생태계 구축 역할 정립","○ 마곡산업단지 내 강소기업 연구공간 제공 Post-BI 창업보육 기술 평가?거래 및 사업화 등 공공산업지원시설    세부 운영계획과 기업지원 방안 연구  ○ 마곡형 지식산업센터 건립계획에 따라 지식산업센터의 허브 기능과 융복합 산업생태계 구축 역할정립 및     비전 제시"
"19957","서울시 사회주택 기본계획 수립 연구용역","2018-07-11","2019-05-10","박은철 연구위원","○서울시는 높은 주거비 부담으로 청년 주거빈곤 심화 30?40대의 서울 유출 현상 등 기존 공공임대주택으로 대응이 어려운 新 주거취약계층의 등장에 따라 새로운 민관협력형 임대주택 모색   ○‘15. 1월 서울시 조례 제정을 계기로 제한적 영리를 추구하는 사회적 경제 주체와 협력하여 부담가능한 임대료로 안정적으로 거주 가능한 공공성 높은 사회주택을 공급 추진   ○그간 사회주택 공급 활성화를 위해 사업방식 개선 리츠 도입 등 다양한 시도 중이나 이 또한 매년 시행계획 수립을 통한 단기대책에 불과하며 일관된 중?장기적인 정책 추진방향이 부재한 상태임   ○최근 국토교통부는 주거복지로드맵에 서울시 사회주택 공급 모델을 정책화하고 사회주택 공급 활성화 방안을 마련 중에 있으며 서울시도  변화된 여건 속에서 5년간 사회주택 1만호 공급을 목표로 하고 있어 이를 달성하기 위한 사회주택 기본계획 수립 필요    ※ 서울특별시 사회주택 활성화 지원 등에 관한 조례 제6조에 따라 기본계획 수립 의무화","○ 용 역 명 : 서울시 사회주택 활성화 기본계획 수립을 위한 기획용역   ○ 용역기간 : ’18. 8월 ~ ’19.1월(6개월)     ○ 수행기관 : 서울연구원(※ 수의계약) ○ 소요비용 : 70백만원"
"18777","서울시 지역산림 산지관리지역 도시림등 조성?관리계획 연구용역","2018-05-18","2019-08-30","고려대학교 산학협력단","○ 상위 계획인 산림 산지관리 도시림등 기본계획의 내용을 반영하고 서울시 현실에 맞도록 종합적인 계획을    수립하여 산림(산지) 및 도시림등의 조성?관리 정책의 효율성 제고 ○ 서울시 산림(산지) 및 도시림등에 대한 구체적인 미래상을 제시하고 발전적인 방안을 구상하여 산림(산지)     및 도시림등의 조성?관리 관련 정책에 반영","○ 연구목적     - 10년 주기의 거시적 법정계획 수립을 위한 학술용역으로 산림과 도시림을 활용한 여가?휴양 수요 증가 등       사회적?제도적 여건변화에 맞춰 우리시 지역산림계획 등을 변경 수립하여 시민의 삶에 대한 행복을 제고       하고자함. ○ 추진근거     - 산림기본법 제11조 제2항     - 산지관리법 제3조의 2 제6항     - 산림자원의 조성 및 관리에 관한 법률 제20조 제1항 ○ 대상지역 : 서울시 전역 산림     - 그간 연구현황       ? 서울시 지역산림계획 2008년(서울연구원)       ? 서울특별시 산지관리지역계획 2013년(한국산지보전협회)       ? 도시숲등 조성?관리계획 2009년(서울연구원) ○ 주요 연구내용     - 산림기본계획에 따른 지역산림계획 관련사항     - 산지관리기본계획에 따른 산지관리지역계획 관련사항     - 도시림등에 관한 기본계획에 따른 도시림등의 조성?관리계획 관련사항"
