,날짜,이름,코드
0,20021219,제16대 대통령선거,0
1,20021219,대통령선거,1
2,20040415,제17대 국회의원선거,0
3,20040415,국회의원선거,2
4,20040415,비례대표국회의원선거,7
5,20071219,제17대 대통령선거,0
6,20071219,대통령선거,1
7,20080409,제18대 국회의원선거,0
8,20080409,국회의원선거,2
9,20080409,비례대표국회의원선거,7
10,20100602,제5회 전국동시지방선거,0
11,20100602,시·도지사선거,3
12,20100602,구·시·군의장선거,4
13,20100602,시·도의회의원선거,5
14,20100602,구·시·군의회의원선거,6
15,20100602,광역의원비례대표선거,8
16,20100602,기초의원비례대표선거,9
17,20100602,교육의원선거,10
18,20100602,교육감선거,11
19,20120411,제19대 국회의원선거,0
20,20120411,국회의원선거,2
21,20120411,비례대표국회의원선거,7
22,20121219,제18대 대통령선거,0
23,20121219,대통령선거,1
24,20140604,제6회 전국동시지방선거,0
25,20140604,시·도지사선거,3
26,20140604,구·시·군의 장선거,4
27,20140604,시·도의회의원선거,5
28,20140604,구·시·군의회의원선거,6
29,20140604,광역의원비례대표선거,8
30,20140604,기초의원비례대표선거,9
31,20140604,교육의원선거,10
32,20140604,교육감선거,11
33,20160413,제20대 국회의원선거,0
34,20160413,국회의원선거,2
35,20160413,구·시·군의장선거,4
36,20160413,시·도의회의원선거,5
37,20160413,구·시·군의회의원선거,6
38,20160413,비례대표국회의원선거,7
39,20170509,제19대 대통령선거,0
40,20170509,대통령선거,1
41,20170509,시·도의회의원선거,5
42,20170509,구·시·군의회의원선거,6
43,20180613,제7회 전국동시지방선거,0
44,20180613,국회의원선거,2
45,20180613,시·도지사선거,3
46,20180613,구·시·군의 장선거,4
47,20180613,시·도의회의원선거,5
48,20180613,구·시·군의회의원선거,6
49,20180613,광역의원비례대표선거,8
50,20180613,기초의원비례대표선거,9
51,20180613,교육의원선거,10
52,20180613,교육감선거,11
53,20190403,2019년 보궐선거,0
54,20190403,국회의원선거,2
55,20190403,구·시·군의회의원선거,6
56,20200415,제21대 국회의원선거,0
57,20200415,국회의원선거,2
58,20200415,구·시·군의 장선거,4
59,20200415,시·도의회의원선거,5
60,20200415,구·시·군의회의원선거,6
61,20200415,비례대표국회의원선거,7
62,20210407,2021년 재·보궐선거,0
63,20210407,시·도지사선거,3
64,20210407,구·시·군의 장선거,4
65,20210407,시·도의회의원선거,5
66,20210407,구·시·군의회의원선거,6
67,20220309,제20대 대통령선거,0
68,20220309,대통령선거,1
69,20220309,국회의원선거,2
70,20220601,제8회 전국동시지방선거,0
71,20220601,시·도지사선거,3
72,20220601,구·시·군의 장선거,4
73,20220601,시·도의회의원선거,5
74,20220601,구·시·군의회의원선거,6
75,20220601,광역의원비례대표선거,8
76,20220601,기초의원비례대표선거,9
77,20220601,교육의원선거,10
78,20220601,교육감선거,11
