,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율,선거명,날짜
0,새천년민주당,전국,대한민국,노무현,정당인,56,19460806,부산상업고등학교 졸업,대전지방법원 판사,48.91,대통령선거,20021219
1,한나라당,서울특별시,강남구을,공성진,한양대 행정대학원 교수,50,19530420,美클레어몬트대학원 정치학박사(82.9~86.2),EBS 자문위원,57.5,국회의원선거,20040415
2,한나라당,서울특별시,송파구갑,맹형규,국회의원,57,19460809,연세대학교 정치외교학과 졸업,한나라당 정책위원회 부의장,54.1,국회의원선거,20040415
3,한나라당,서울특별시,송파구을,박계동,정당인,51,19521220,고려대학교 정치외교학과 졸업,제14대 국회의원,49.3,국회의원선거,20040415
4,열린우리당,서울특별시,송파구병,이근식,정당인,58,19460210,서울대학교 법학과 졸업,국민의정부 행정자치부장관,38.2,국회의원선거,20040415
5,한나라당,서울특별시,강동구갑,김충환,정당인,50,19540309,서울대 사회과학대학정치학과 졸업,행정고시합격,47.2,국회의원선거,20040415
6,열린우리당,서울특별시,강동구을,이상경,변호사,40,19640222,전북대학교 대학원 경제학 박사과정 수료,"1990년 사법고시, 행정고시 합격",40.1,국회의원선거,20040415
7,한나라당,부산광역시,중구·동구,정의화,국회의원,55,19481218,부산대학교 의과대학 졸업,15.16대 국회의원,59.6,국회의원선거,20040415
8,한나라당,부산광역시,서구,유기준,변호사,44,19590810,서울대학교 법학과 졸업,사법시험(제25회)합격,45,국회의원선거,20040415
9,한나라당,부산광역시,영도구,김형오,국회의원,56,19471130,경남대학교 대학원 정치학박사,"14,15,16대 국회의원",48.4,국회의원선거,20040415
10,한나라당,부산광역시,부산진구갑,김병호,국회의원,61,19430115,고려대학교 정치외교학과 4년 졸업,"부산국제신문, 부산일보 기자",55.6,국회의원선거,20040415
11,한나라당,부산광역시,부산진구을,이성권,정당인,35,19681015,와세다대학대학원2년졸업 (국제관계학)석사,부산대학교 총학생회장,45.9,국회의원선거,20040415
12,한나라당,부산광역시,동래구,이재웅,교수,50,19530824,연세대학교 대학원 졸업(행정학 박사),동의대 행정학과 교수 겸 영상정보대학원장,57.3,국회의원선거,20040415
13,한나라당,부산광역시,남구갑,김정훈,변호사,46,19571103,한양대학교 법학과 졸업,한나라당 이회창 대통령후보 법률특보,50.8,국회의원선거,20040415
14,한나라당,부산광역시,남구을,김무성,국회의원,52,19510920,한양대학교 경영학과 졸업,15대16대국회의원,54.9,국회의원선거,20040415
15,한나라당,부산광역시,북구·강서구갑,정형근,국회의원,58,19450726,"서울대학교 법과대학원 졸업, 법학박사",제15·16대 국회의원,51.2,국회의원선거,20040415
16,한나라당,부산광역시,북구·강서구을,허태열,국회의원,58,19450725,성균관대학교 법정대학 법학과 졸업,충북도지사,52.5,국회의원선거,20040415
17,한나라당,부산광역시,해운대구·기장군갑,서병수,정당인,52,19520109,미국 북일리노이주립대학원 경제학박사,동부산대학 겸임교수,55.6,국회의원선거,20040415
18,한나라당,부산광역시,해운대구·기장군을,안경률,국회의원,55,19480711,서울대학교 철학과 졸업,제16대 국회의원,55,국회의원선거,20040415
19,한나라당,부산광역시,사하구갑,엄호성,국회의원,48,19551023,서울대 행정대학원 석사과정 수료,행정·사법고시 합격,54.9,국회의원선거,20040415
20,열린우리당,부산광역시,사하구을,조경태,정당인,36,19680110,부산대학교 토목공학박사,노무현 대통령후보 정책보좌,39.1,국회의원선거,20040415
21,한나라당,부산광역시,금정구,박승환,변호사,46,19571008,부산대학교 대학원 법학과 박사과정 수료,민변 부산·경남지부 회장,52.4,국회의원선거,20040415
22,한나라당,부산광역시,연제구,김희정,정당인,33,19710413,연세대학교 대학원 정치학박사 수료,(현)한나라당중앙당부대변인,53.7,국회의원선거,20040415
23,한나라당,부산광역시,수영구,박형준,동아대 사회학과 정교수,44,19600119,고려대 동대학원 졸업,중앙일보사 기자,58.8,국회의원선거,20040415
24,한나라당,부산광역시,사상구,권철현,국회의원,57,19470102,일본국립쯔꾸바대학원졸3년 도시사회학박사,한나라당 대변인,52.7,국회의원선거,20040415
25,한나라당,대구광역시,중구·남구,곽성문,정당인,51,19521124,서울대학교 국사학과 졸업,MBC 워싱턴특파원,63.1,국회의원선거,20040415
26,한나라당,대구광역시,동구갑,주성영,변호사,45,19580427,고려대학교 법학과 졸업,대구 고등검찰청 부장검사,60.6,국회의원선거,20040415
27,한나라당,대구광역시,동구을,박창달,국회의원,58,19460317,영남대학교 행정대학원 졸업,한나라당 교육위원장,55.1,국회의원선거,20040415
28,한나라당,대구광역시,서구,강재섭,16대 국회의원,56,19480328,서울대학교 법과대학 법학과 졸업,"국회의원(4선, 13.14.15.16대)",56.1,국회의원선거,20040415
29,한나라당,대구광역시,북구갑,이명규,변호사,48,19560110,영남대학교 법학대학원 졸업,대구광역시 북구1대 ·2대 ·3대민선구청장,73.2,국회의원선거,20040415
