,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,자유선진당,전국,비례대표,이영애,변호사,59,19480921,서울대학교 법학과 졸업,당 최고위원,0
1,한나라당,전국,비례대표,강명순,(사) 부스러기사랑나눔회 대표,56,19520329,이화여자대학교 시청각교육과 졸업,현 안산제일감리교회 목사,0
2,창조한국당,전국,비례대표,이용경,정당인,64,19430611,"미국 Univ. of California, Berkeley(전기공학 박사)",(주)KT대표이사 사장,0
3,통합민주당,전국,비례대표,이성남,정당인,60,19471111,이화여자대학교 영어영문학과 졸업,전 한국은행 금융통화위원회 위원,0
4,민주노동당,전국,비례대표,곽정숙,(사)실로암사람들 부설 실로암재활원 원장,47,19600829,광주대학교 사회복지전문대학원 석사과정,(전) (사)한국여성장애인연합 상임대표,0
5,친박연대,전국,비례대표,양정례,사)건풍복지회 연구관,30,19770507,연세대학교 대학원 졸업(법학석사),현)새시대 새물결 여성청년 간사,0
6,통합민주당,전국,비례대표,박은수,한국장애인고용촉진공단 이사장,51,19560915,서울대학교 법학과 졸업,전 대구·마산지방법원 판사,0
7,창조한국당,전국,비례대표,이한정,(사) 한국사회청소년문화연맹 총장,57,19510122,연변대학 정치학과 졸업,열린우리당 정책위 부의장,0
8,민주노동당,전국,비례대표,홍희덕,의정부시 환경미화원,58,19491211,은척초등학교 졸업,(전) 경기도 노동조합 위원장,0
9,친박연대,전국,비례대표,서청원,당 대표최고위원,65,19430403,중앙대학교 정치외교학과 졸업,전)박근혜 경선캠프 상임고문,0
10,한나라당,전국,비례대표,임두성,(사)한빛복지협회 회장,58,19490717,화산초등학교 졸업,현 (사)한빛복지협회 회장,0
11,자유선진당,전국,비례대표,조순형,국회의원,73,19350310,서울대학교 법학과 졸업,국회의원(6선),0
12,친박연대,전국,비례대표,김노식,당 최고위원,62,19450510,경기대학교 대학원 졸업(경영학석사),(전)제11대 국회의원,0
13,자유선진당,전국,비례대표,박선영,동국대학교 교수,52,19560406,서울대학교 대학원 박사과정 졸업(법학박사),동국대학교 교수,0
14,통합민주당,전국,비례대표,최영희,미기재,57,19500720,이화여자대학교 사회학과 졸업,전 국가청소년위원회위원장,0
15,민주노동당,전국,비례대표,이정희,변호사,38,19691222,서울대학교 법과대학 공법학과 졸업,(전)교육인적자원부 대학교임용양성평등위원회 위원,0
16,한나라당,전국,비례대표,배은희,벤쳐기업인,48,19590719,미 뉴욕주립대학교 대학원 졸업(세포분자생물학박사),전 KIST 선임연구원,0
17,친박연대,전국,비례대표,송영선,당 대변인,54,19530809,미국 하와이대학교 대학원 졸업(정치학박사),전 국회의원,0
18,자유선진당,전국,비례대표,김용구,(주)신동 대표이사,68,19400330,성균관대학교 법률학과 졸업,전)중소기업중앙회 회장,0
19,한나라당,전국,비례대표,강성천,전국자동차노동조합연맹위원장,67,19400815,익산 이리중학교 제적(54.4.6 - 55.4.6),현 한국노총 부위원장,0
20,통합민주당,전국,비례대표,송민순,정치인,59,19480728,서울대학교 독어독문학과 졸업,전 외교통상부 장관,0
21,한나라당,전국,비례대표,이정선,시민단체의 장,47,19600815,서울시립대학교 대학원 졸업(사회복지학 석사),전 제6대 서울시의원,0
22,친박연대,전국,비례대표,김을동,방송연기자,62,19450905,중앙대학교 정치학과 1년 중퇴,(사) 백야 김좌진장군 기념사업회 회장,0
23,통합민주당,전국,비례대표,전혜숙,건강보험심사평가원 상임감사,52,19550505,성균관대학교 임상약학대학원 4학기 재학,현 건강보험심사평가원 상임감사,0
24,친박연대,전국,비례대표,정하균,(사) 한국척수장애인협회 회장,50,19580102,한국방송통신대학교 법학과 졸업,현 장애인차별금지법제정추진연대 법제위원,0
25,통합민주당,전국,비례대표,정국교,(주)H&T대표이사,47,19600626,단국대학교 경제무역학부 졸업,(주)H&T대표이사,0
26,한나라당,전국,비례대표,김장수,정당인,60,19480226,연세대학교 대학원 졸업(행정학 석사),육군참모총장,0
27,통합민주당,전국,비례대표,전현희,변호사,43,19641104,고려대학교 법무대학원 졸업(법학석사),현 대한치과의사협회 고문변호사,0
28,친박연대,전국,비례대표,정영희,당 여성위원장,62,19451001,서울여자보건고등학교(현 서울여자간호대학) 졸업,한나라당 대통령후보 경선,0
29,한나라당,전국,비례대표,김소남,호남향우회 전국여성회장,58,19490814,한양여자대학 문예창작과 졸업,현 호남향우회 전국여성회장,0
30,한나라당,전국,비례대표,정진석,국회의원,47,19600904,고려대학교 정치외교학과 졸업,"현 제16,17대 국회의원",0
31,통합민주당,전국,비례대표,서종표,한북대 대외부총장,62,19450710,동국대학교 행정대학원 졸업(행정학석사),현 대학교수,0
32,친박연대,전국,비례대표,노철래,당 사무부총장,58,19500102,중앙대학교 법학과 졸업,전 한나라당 대표 정무 특보,0
33,한나라당,전국,비례대표,이은재,교수,56,19520327,미 Claremont대학교 대학원 졸업(행정학박사),현 건국대 행정대학원장,0
34,통합민주당,전국,비례대표,신낙균,정당인,67,19410201,조지워싱턴대학교 졸업(교육학 석사),현 한국여성유권자연맹 회장,0
35,한나라당,전국,비례대표,이달곤,교수,54,19530911,미 하버드대학교 대학원 졸업(정책학 박사),한국행정학회 회장,0
36,통합민주당,전국,비례대표,최문순,언론인,52,19560204,서울대학교대학원 졸업(문학석사),전 MBC사장,0
37,통합민주당,전국,비례대표,김상희,정당인(통합민주당 최고위원),53,19540518,이화여자대학교 제약학과 졸업,전 한국여성민우회 상임대표,0
38,한나라당,전국,비례대표,김금래,정당인,55,19520806,숙명여자대학교 대학원 졸업(행정학석사),여성단체협의회 사무총장,0
39,한나라당,전국,비례대표,나성린,교수,55,19530327,영국 옥스퍼드대학교 대학원 졸업(경제학박사),한양대학교 경제금융학부 교수,0
40,통합민주당,전국,비례대표,김충조,정당인,65,19420824,고려대학교 법학과 졸업,전 국회의원,0
41,통합민주당,전국,비례대표,박선숙,정당인,47,19601201,서강대학교공공정책대학원 4학기 재학,전 청와대 공보수석,0
42,한나라당,전국,비례대표,조윤선,한나라당 대변인,41,19660722,서울대학교 외교학과 졸업,현 한나라당 대변인,0
43,한나라당,전국,비례대표,조문환,의사,48,19591108,계명대학교 대학원 졸업(의학박사),제17대 대통령직인수위 자문위원,0
44,통합민주당,전국,비례대표,안규백,정당인,46,19610429,성균관대학교 무역대학원 수료(석사과정),전 민주당 조직위원장,0
45,한나라당,전국,비례대표,손숙미,교수,53,19540910,미국 노스캐롤라이나대학교 대학원 졸업(영양학박사),현 대한영양사협회 회장,0
46,통합민주당,전국,비례대표,김유정,정당인,39,19690118,성균관대학교 국정관리대학원 수료(박사과정),전 민주당 여성국장,0
47,한나라당,전국,비례대표,원희목,대한약사회 회장,53,19540610,강원대학교 대학원 약학과 박사과정 졸업(약학박사),한국보건의료인국가시험원 이사장,0
48,한나라당,전국,비례대표,이애주,간호사,62,19460111,서울대학교 간호학과 졸업,병원간호사회 회장,0
49,한나라당,전국,비례대표,이춘식,정당인,58,19490521,연세대학교 행정학과 졸업,서울시 정무부시장,0
50,한나라당,전국,비례대표,정옥임,교수,48,19600125,고려대학교 대학원 박사과정 졸업(정치학 박사),청와대·외통부 정책자문위원,0
51,한나라당,전국,비례대표,임동규,한국지방자치발전연구회 회장,63,19441109,미기재,수도이전반대대책위 위원장,0
52,한나라당,전국,비례대표,김옥이,재향여성군인협의회 회장,60,19471202,동국대학교 대학원 졸업(행정학석사),육군 제15대 여군단장,0
53,한나라당,전국,비례대표,이정현,한나라당 정책기획위원,49,19580901,동국대학교 정치외교학과 졸업,전 박근혜 후보 캠프 대변인,0
