,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,,광주광역시,광주광역시 제4선거구,박인화,밝은교육연구회 회장,63,19470225,우석대학교 교육대학원 졸업(특수교육학석사),광주광역시 초등학교장 협의회장,51.9
1,,대전광역시,대전광역시 제1선거구,김창규,무직,61,19480902,공주교육대학 졸업(현 공주교육대학교),대전동부교육청교육장,38.99
2,,대전광역시,대전광역시 제2선거구,강영자,대전광역시교육위원회 교육위원,68,19420130,한남대학교 교육대학원 졸업(교육학 석사),대전광역시교육위원회 의장(현),38.81
3,,대전광역시,대전광역시 제3선거구,김동건,충남대학교 교수,63,19470112,한국체육대학교 대학원졸업(이학박사),(전)대전교원단체총연합회 회장,34.38
4,,대전광역시,대전광역시 제4선거구,최진동,미래교육시민포럼(부대표),63,19461121,공주대학교 교육대학원 졸업(교육학석사),대전교육과학연구원 원장(장학관),34.08
5,,울산광역시,울산광역시 제1선거구,권오영,無,64,19450609,동아대학교 법학과 졸업,前울산고등학교 교사,51.44
6,,울산광역시,울산광역시 제2선거구,박홍경,울산광역시 교육위원,65,19441227,울산대학교 교육대학원 교육행정학과(교육학석사),울산광역시 강남교육청 교육장,33.89
7,,울산광역시,울산광역시 제3선거구,이선철,울산광역시 교육위원,57,19521102,동아대학교대학원 영어영문학과 박사과정 수료,전)학성고·중앙여고 교사,55.41
8,,울산광역시,울산광역시 제4선거구,정찬모,미기재,57,19530503,대구대학교 영어영문학과(1회) 졸업,울산광역시 제4대 교육위원회 부의장(전),29.24
9,,경기도,경기도 제1선거구,최철환,무직,54,19560320,인천교육대학(현 경인교육대학교) 초등교육학과 졸업,(전)석수초등학교 교사,58.4
10,,경기도,경기도 제2선거구,김광래,무직,61,19481007,고려대학교 교육대학원 졸업,(전)성남교육청교육장,42.86
11,,경기도,경기도 제3선거구,이재삼,경기도교육위원,50,19600427,대구교육대학교 졸업,경기도교육위원(현),52.7
12,,경기도,경기도 제4선거구,조평호,무직,56,19531010,인하대학교 대학원 졸업(교육학 박사),前초등학교 교사 23년,37.83
13,,경기도,경기도 제5선거구,강관희,경기도교육위원,55,19550410,한양대학교 체육학과 대학원졸업 이학박사,교육위원,34.7
14,,경기도,경기도 제6선거구,최창의,경기도교육위원,48,19611102,홍익대 교육경영관리대학원 졸업,(현)무상급식실현경기추진본부 집행위원,37.33
15,,경기도,경기도 제7선거구,문형호,무직,66,19430815,전남대학교 교육대학원 어학교육(국어)전공 교육학 석사 졸업,(전)경기 고등학교 교사,36.75
16,,강원도,강원도 제1선거구,유창옥,(사)한국 DMZ 평화동산 평화생태 교육실행 위원장,63,19461230,강원대학 임학과 졸업,춘천고등학교장,30.01
17,,강원도,강원도 제2선거구,이문희,겸임 교수(상지영서대),63,19460618,강원대학교 교육대학원 국민윤리교육학과 졸업,(전)제17대 강원도 원주교육청 교육장,42.24
18,,강원도,강원도 제3선거구,최돈국,무직,62,19470930,고려대학교 교육대학원 석사과정 졸업,전)강릉고등학교교장 재직,62.59
19,,강원도,강원도 제4선거구,신철수,무,63,19470117,관동대학교 교육대학원 졸업(교육학 석사),(전)북평고등학교 교장,0
20,,강원도,강원도 제5선거구,김세영,미기재,62,19471210,국민대학교 교육대학원 교육학과(물리교육전공) 졸업,전)강원대 교육청 장학관,55.46
21,,충청북도,충청북도 제1선거구,하재성,무직,62,19470808,충북대학교 교육대학원 졸업 (교육학석사),(전) 충청북도교육청 중등교육과 중등교육과장,50.49
22,,충청북도,충청북도 제2선거구,박상필,무,63,19470120,성균관대학교 교육대학원 교육학 석사,충북교육과학연구원장,41.04
23,,충청북도,충청북도 제3선거구,전응천,무직,63,19470225,고려대학교 교육대학원 졸업 (교육학 석사),(전)충청북도 제천교육청 교육장,41.35
24,,충청북도,충청북도 제4선거구,장병학,문인,63,19460617,경희대학교교육대학원 졸업,前 괴산증평교육청 교육장 직무대행,35.61
25,,충청남도,충청남도 제1선거구,김지철,무직,58,19511010,단국대학교 교육대학원 수료,전)충청남도 교육위원,44.32
26,,충청남도,충청남도 제2선거구,이은철,충청남도교육위원,66,19440523,공주대학교 교육대학원 졸업(교육행정 전공),현)충청남도교육위원,57.03
27,,충청남도,충청남도 제3선거구,임춘근,무직,49,19610522,공주대학교 대학원 졸업 문학석사,전교조(본부)사무처장(전),38.29
28,,충청남도,충청남도 제4선거구,명노희,한남대학교 과학기술법연구소 연구원,50,19591121,한남대학교 대학원(법학박사과정) 수료,선성대학 교수(겸임),31.87
29,,충청남도,충청남도 제5선거구,조남권,무직,62,19480207,공주교육대학교 졸업,전)부여교육청 학무과장,33.8
30,,전라북도,전라북도 제1선거구,최남렬,한국음악협회 전북지회장,62,19480416,전북대학교 교육대학원 석사과정 졸업(교육학 석사),(전)전주양지중학교 교장,35.84
31,,전라북도,전라북도 제2선거구,유기태,없음,62,19480102,전북대학교 교육대학원 교육학과 졸업,전주교육청 교육장,33.94
32,,전라북도,전라북도 제3선거구,박용성,군산대학교 교수,65,19450313,조선대학교 대학원 수학과 졸업(이학박사),(현)군산대학교 교수,42.65
33,,전라북도,전라북도 제4선거구,김규령,교육위원,58,19520328,조선대학교 교육대학원 교육학과 교육행정전공 졸업,(전)배영고등학교 교장,52.8
34,,전라북도,전라북도 제5선거구,김정호,무직,62,19480111,전북대학교 교육대학원 졸업,(전) 교육과학기술부 교육복지정책자문위원,53.84
35,,전라남도,전라남도 제1선거구,박병학,전라남도교육의원,74,19360126,목포사범학교 졸업 [(현)목포대학교],(현)전라남도교육의원,31.02
36,,전라남도,전라남도 제2선거구,윤문칠,없음,61,19481101,여수대학교(현 전남대학교) 교육대학원 졸업,여수고등학교 교장,30.32
37,,전라남도,전라남도 제3선거구,김동철,무,56,19540515,경희대학교 정치외교학과 졸업,(전)교사,33.73
38,,전라남도,전라남도 제4선거구,나승옥,무직,67,19420915,전남대학교 교육대학원 교육행정전공(교육학석사),(전)전라남도 교육청 교육국장,33.77
39,,전라남도,전라남도 제5선거구,배병채,무직,61,19490115,경희대학교 교육대학원 졸업(교육학 석사),(전)초.중등교사.교감.교장,30.6
40,,경상북도,경상북도 제1선거구,김원석,무직,63,19470125,경북대학교 사범대학 졸업,장성고등학교장,46.48
41,,경상북도,경상북도 제2선거구,최우섭,경상북도교육위원회 교육위원,67,19420929,한국방송통신대학교 행정학과 재학중(4학년),(현)경상북도교육위원,65.66
42,,경상북도,경상북도 제3선거구,추재천,무직,60,19490707,영남고등학교 졸업,경상북도교육청 총무과장,50.95
43,,경상북도,경상북도 제4선거구,홍광중,경상북도 교육위원회 교육위원,68,19411110,한국방송통신대학교 초등교육과 졸업,전)경상북도 교육위원회 의장,45.39
44,,경상북도,경상북도 제5선거구,박태환,강사,61,19480711,고려대학교 국어국문학과 졸업,전)경구중학교 교장,46.28
45,,경상남도,경상남도 제1선거구,조형래,대학 강사,43,19670510,부산대학교 대학원 박사과정 수료 (건축공학과 건축계획 전공),창신대학 건축과 교수(전),40.33
46,,경상남도,경상남도 제2선거구,김종수,무,62,19480307,경남대학교 대학원 영문학과 졸업(문학석사),경상남도교육청 중등교육 과장,51.79
47,,경상남도,경상남도 제3선거구,조재규,경상남도 교육위원,53,19561025,경상대학교 대학원 교육학 박사과정 수료 ,교사 25년 경력,37.54
48,,경상남도,경상남도 제4선거구,성경호,무직,56,19540215,동아대학교 체육학과 졸업,전 개운중학교 교감,28.61
49,,경상남도,경상남도 제5선거구,정동한,농업,63,19470403,경상대학교 교육대학원 졸업(교육학 석사),거제교육청 교육과장,48.66
50,,제주특별자치도,제주특별자치도 제1선거구,윤두호,무직,59,19510201,제주대학교 대학원(석사) 원예학과 졸업,(전)남녕고등학교장,56.89
51,,제주특별자치도,제주특별자치도 제2선거구,이석문,교육활동가,51,19590114,제주대학교 사범대학 영어교육과 졸업,(전)전국교직원노동조합 제주지부장,45.29
52,,제주특별자치도,제주특별자치도 제3선거구,강경찬,무직,58,19520303,홍익대학교 대학원 교육학과(교육학박사)  졸업,(전)제주특별자치도교육청교육정책과장,35.56
53,,제주특별자치도,제주특별자치도 제4선거구,오대익,무직,63,19460910,경희대학교 교육대학원 교육학과(교육학 석사) 졸업,(현)사단법인 제주복지포럼 이사장,59.11
54,,제주특별자치도,제주특별자치도 제5선거구,문석호,무직,63,19470224,제주대학교 행정대학원 행정학과 재학,(전)대정고등학교 교감,55.76
55,,부산광역시,부산광역시 제2선거구,최부야,무직,63,19470510,부산대학교 행정대학원 졸업,(전)부산시교육청 학교운영지원과장,35.68
56,,부산광역시,부산광역시 제3선거구,김정선,부산광역시 교육위원,59,19500705,경성대학교 대학원 법학과 졸업(법학박사),(현)부산광역시 교육위원,31.4
