,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,민주당,경기도,화성시,채인석,경제인,47,19630327,중앙대학교 경제학과 졸업,(현)노무현재단 기획위원,45.05
1,민주당,경기도,시흥시,김윤식,시흥시장,44,19660325,연세대학교 행정대학원 지방자치·도시행정전공(석사과정) 졸업,(현)경기도 시흥시장,59.41
2,민주당,경기도,군포시,김윤주,정당인,61,19480703,용문초등학교 졸업(경북 예천),(전)한국노총 경기중부지역의장,55.01
3,민주당,경기도,하남시,이교범,정당인,58,19520509,단국대학교 무역학과 졸업,(전)하남시장,49.46
4,민주당,경기도,파주시,이인재,정당인,49,19601011,연세대학교 법과대학원 졸업(법학 박사),(전)고양시 일산구청장,43.83
5,한나라당,경기도,여주군,김춘석,건국대학교(충주캠퍼스)행정학과초빙교수,59,19501122,서울대학교 사회학과 졸업,(전)기획예산처기획예산담당관,39.14
6,한나라당,경기도,이천시,조병돈,공무원(정무직),61,19490124,한경대학교 산업대학원 토목공학과 졸업,(현)이천시장,63.73
7,민주당,경기도,용인시,김학규,정당인,62,19471214,강남대학교 대학원 졸업(행정학석사),"(전)수지신용협동조합 1,2,3대 이사장",46.52
8,한나라당,경기도,안성시,황은성,정당인,48,19620226,한경대학교 생물환경정보통신전문대학원 박사과정 (5학기)재학중,전) 경기도 의회의원(재선),33.74
9,민주당,경기도,김포시,유영록,정당인,47,19620922,서울시립대학교 대학원 도시행정학과 박사 수료,(전)대통령자문 국가균형발전위원회 자문위원,46.59
10,한나라당,경기도,광주시,조억동,광주시장,53,19561001,사이버한국외국어대학교 경영학부 재학,전)광주시의회 의장,50.11
11,한나라당,경기도,포천시,서장원,포천시장,52,19580120,대진대학교 법무행정대학원 법학과 졸업,(현)제3대 포천시장,54.02
12,한나라당,경기도,연천군,김규선,현대볼링센타 대표,57,19521106,서정대학 사회복지행정과 졸업,(전)제3대연천군의회 부의장,36.06
13,한나라당,경기도,양평군,김선교,공무원(양평군수),49,19600918,고려대학교 정책대학원 국토계획경제학과 경제학석사(국토계획경제),(현)양평군수,66.72
14,무소속,경기도,가평군,이진용,정치인,52,19580417,고려대학교 경영대학원 졸업,경기도의회 부의장(전),56.99
15,한나라당,강원도,춘천시,이광준,춘천시장,54,19550913,강원대학교 법경대학 행정학과 졸업,미국 LA총영사관 영사,36.19
16,민주당,강원도,원주시,원창묵,건축사,49,19601210,중앙대학교 건설대학원 도시공학과 졸업,수도권전철 추진위원장,47.22
17,한나라당,강원도,강릉시,최명희,강릉시장,55,19550408,고려대학교 법과대학 행정학과 졸,전)강원도기획관리실장,79.57
18,한나라당,강원도,동해시,김학기,공무원,62,19471006,강원대학교 대학원 졸업 (행정학 박사),동해시장(현),42.8
