,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,,서울특별시,서울특별시,조희연,대학교수(성공회대학교),57,19561006,연세대 사회학 박사,(전)민주화를위한전국교수협의회 의장,39.08
1,,부산광역시,부산광역시,김석준,부산대학교 사범대 교수,57,19570328,서울대학교 대학원 졸업,(현) 부산대학교 사범대 교수,34.67
2,,대구광역시,대구광역시,우동기,대구광역시 교육감,62,19520517,"일본 쓰쿠바대학 사회공학연구과 박사과정 졸업(학술박사,1987.4~1990.3)",(전)영남대학교 총장,58.47
3,,인천광역시,인천광역시,이청연,무직,60,19540525,인천교육대학(현 경인교육대학교) 초등교육학과 2년 졸업,(현)친환경 무상급식 안전지킴이 공동단장,31.89
4,,광주광역시,광주광역시,장휘국,광주광역시 교육감,63,19500802,조선대학교 대학원 사학과 졸,(전)광주고등학교 교사,47.6
5,,대전광역시,대전광역시,설동호,교수,63,19501121,충남대학교 대학원 영어영문학과 졸업(문학박사),(전) 한밭대학교 제4대·제5대 총장,31.42
6,,울산광역시,울산광역시,김복만,울산광역시교육감,66,19470706,한양대학교 대학원 산업공학과 졸업(박사과정),(전)울산대학교 교수,36.17
7,,세종특별자치시,세종특별자치시,최교진,없음,60,19531124,공주사범대학 국어교육과 졸업,(현) 한국교육복지포럼 공동대표,38.17
8,,경기도,경기도,이재정,성공회대학교 석좌교수,70,19440301,토론토대학교 트리니티칼리지 신학박사(1984.9~1988.5),(현)성공회대학교 석좌교수,36.51
9,,강원도,강원도,민병희,강원도교육감,60,19530628,강원대 수학교육과 졸업,(현)강원도교육감,46.4
10,,충청북도,충청북도,김병우,교육인,56,19570804,충북대학교 대학원(교육행정전공) 박사과정 수료,(전)제5대 충청북도 교육위원,44.5
11,,충청남도,충청남도,김지철,충청남도의회 교육의원,62,19511010,공주사범대학 영어교육과 졸업,(현) 제9대 충청남도의회 교육의원,31.84
12,,전라북도,전라북도,김승환,전라북도교육감,60,19531226,고려대학교 대학원 법학과 졸업(법학박사),(전) 한국헌법학회장,55
13,,전라남도,전라남도,장만채,전라남도교육감,56,19580326,한국과학기술원(KAIST)졸업(이학박사),(전)국립순천대학교 총장,56.34
14,,경상북도,경상북도,이영우,경상북도교육감,68,19451014,경북대학교 사범대학 국어교육과 졸업,(현)경상북도교육감,52.07
15,,경상남도,경상남도,박종훈,경남대학교 초빙교수,53,19601022,경남대학교 대학원 정치외교학과 졸업(정치학박사),(전)경상남도 교육위원회 부의장,39.41
16,,제주특별자치도,제주특별자치도,이석문,제주특별자치도의회 교육의원,55,19590114,제주대학교 사범대학 영어교육과 졸업,(현)제9대 제주특별자치도의회 의원(교육위원회),33.22
