,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,새누리당,경상남도,사천시,정지선,자영업,56,19580504,경남과학기술대학교 원예학과 졸업,(현)사천시여성단체협의회장,0
1,새정치민주연합,경상남도,사천시,김영애,시민운동가,39,19750104,"대구신일전문대학 졸업(현, 수성대학교)",(현)사천시명예기자단,0
2,새누리당,경상남도,김해시,박진숙,정당인,61,19521104,부산골프고등학교 졸업,(전) 대한 간호조무사협회 지회장,0
3,새누리당,경상남도,김해시,김동순,금누리 외국인 지원협회 이사장,38,19760210,고성여자고등학교 졸업,(현) 경남도당 차세대위원회 수석 부위원장,0
4,새정치민주연합,경상남도,김해시,김명희,공인중개사,49,19650205,가야대학교 재학,(현)한국전통염색협회감사,0
5,새누리당,경상남도,밀양시,조영자,자영업,54,19590928,부산대학교 생명자원과학부 졸업,(전) 밀양시 여성단체 협의회장,0
6,새정치민주연합,경상남도,밀양시,이주옥,정당인,52,19620315,동아대학교 졸업,(현) 사)느티나무 경남장애인 부모회 후원이사,0
7,새누리당,경상남도,거제시,김복희,주부,61,19530115,창신대학 문예창작과 졸업,(전)여성회관 관장,0
8,새정치민주연합,경상남도,거제시,최양희,정당인,44,19691202,한국방송통신대학교 영어영문학과 졸업,(전)참교육학부모회 거제지회장,0
9,새누리당,경상남도,의령군,김봉남,청호산업개발(주) 대표이사,46,19671109,경남대학교 심리학과 졸업,(현)의령군 여성단체협의회장,0
10,새누리당,경상남도,함안군,김윤란,전업주부,67,19470413,동아대학교 병설실업초급대학 가정과 졸업,(전)함성중학교 교사,0
11,새누리당,경상남도,창녕군,유영숙,주부,62,19511125,경북과학대학교 사회복지계열재학,(전)창녕군 12대 여성단체협의회장,0
12,새정치민주연합,경상남도,창녕군,서경순,정당인,58,19550623,창녕여자고등학교,(현)창녕군장애인후원회원,0
13,새누리당,경상남도,양산시,이정애,양주어린이집 원장,66,19480531,양산대학 유아교육과 졸업(현 동원과학기술대학교),(현)새누리당경남도당 부위원장,0
14,새정치민주연합,경상남도,양산시,차예경,정당인,44,19700109,인제대학교 보건대학원 산업안전보건학과 졸업(보건학석사),(전)동원과학기술대학교 교직원,0
15,새누리당,경상남도,하동군,강희순,고궁모텔 대표,54,19600302,원광디지털대학교 차문화 경영학과 2학년 재학,(현)새누리당 하동군당원협의회 여성회장단장,0
16,새정치민주연합,경상남도,하동군,강상례,정당인,65,19490510,진주산업대학교 산업경제학과 졸업,(현)하동중학교 총동창회 부회장,0
17,새누리당,경상남도,남해군,박미선,자영업(목욕업),60,19540404,경남도립남해대학 비즈니스사무과 1학년 재학,(현)중앙목욕탕 대표,0
18,새누리당,경상남도,함양군,김정희,정당인,56,19571023,한국국제대학교 건강기능식품학과 졸업,(전)경남지방행정공무원 34년근무,0
19,새누리당,경상남도,산청군,왕선희,비락우유 산청읍대리점 대표,57,19570306,산청종합고등학교(현 산청고등학교) 졸업,(현)산청군여성단체협의회 회장,0
20,새누리당,경상남도,거창군,박희순,금천헬스사우나 대표,54,19591007,거창상업고등학교 졸업,(전)새누리당 거창군 여성위원회 회장,0
21,새정치민주연합,경상남도,거창군,김향란,학원장,50,19640524,신라대학교 사범대학 졸업,(전)민주당 거함산 여성위원장,0
22,새누리당,경상남도,합천군,최정옥,삼성생명 AFC 팀장,58,19560424,대구미래대학교 사회복지학과 졸업,(현)합천군자원봉사협의회장,0
23,새누리당,경상남도,합천군,박안나,정당인,59,19550324,대구 도동초등학교 졸업,(현)민주평통 합천군협의회 여성분과 위원장,0
24,새누리당,경기도,가평군,김금순,농업경영인 (태봉농업),57,19560707,마장초등학교 졸업,(전)가평군 여성단체협의회 회장,0
25,새누리당,강원도,춘천시,이미옥,자영업,58,19551211,한림성심대학교 행정과 2학년 재학,(현)한국여성경영자총협회 춘천지회 부회장,0
26,새정치민주연합,강원도,춘천시,이혜영,어린이집원장,47,19670215,가천대학교 유아교육학과 유아교육전공 박사과정,(전)춘천시어린이집연합회원장 및 교직원,0
27,새정치민주연합,강원도,춘천시,박순자,자영업,52,19620125,한국방송통신대학교 문화교양학과 재학,(전)민주당 강원도당 춘천시지역위원회 여성위원장,0
28,새누리당,강원도,원주시,이은옥,무직,57,19570220,동덕여자대학교 국사교육학과 졸업,(현)원주여중·고 총동문회회장,0
29,새누리당,강원도,원주시,김인순,정당인,57,19570103,"한성디지털대학교 미용예술과 졸업(현,서울문화예술대학교)",(전)상지여고 총동문회장,0
30,새정치민주연합,강원도,원주시,김정희,정당인,58,19560123,횡성고등학교 졸업,(현)흥양천공동체 라디오국장,0
31,새누리당,강원도,강릉시,박경자,무직,60,19530625,도립강원전문대학 레저스포츠과 졸업,(전)강릉시생활체육회사무국장,0
32,새정치민주연합,강원도,강릉시,김복자,무직,44,19691129,상지대학교 대학원 수료,(전)강원도여성정책특별보좌관,0
33,새누리당,강원도,동해시,임명희,자영업,54,19600222,한중대학교(한국어교원전공)졸업,(전)한국여성농업인 강원도연합회장,0
34,새누리당,강원도,삼척시,박영자,무,59,19550319,삼척여자고등학교 졸업,(전)삼척시여성단체협의회회장,0
35,새누리당,강원도,태백시,노복순,무,66,19470717,대입검정고시 합격,(전)태백시여성단체협의회회장,0
36,새누리당,강원도,정선군,진길우,자영업,61,19530402,강원관광대학교 사회복지과 졸업,(전)정선군 새마을 부녀회장,0
37,새누리당,강원도,속초시,강영희,무직,55,19590224,강릉원주대 경영정책과학대학원 졸업(행정학 석사),(전)속초시 자치행정과장,0
38,새누리당,강원도,고성군,김숙희,농업,48,19660311,거진여자종합고등학교(現거진정보공업고)졸,(전)새누리당강원도고성군누리스타봉사단장,0
39,새누리당,강원도,양양군,이영자,무,50,19631017,유봉여고 졸,(전)자유총연맹양양군지회여성회장,0
40,새누리당,강원도,인제군,강순복,무직,55,19590212,인제종합고등학교 졸업(현 인제고등학교),(전)인제군자원봉사센터 사무국장,0
41,새누리당,강원도,홍천군,박은정,무,59,19541121,임계고등학교 졸업,(전)홍천군의회 전문위원,0
42,새누리당,강원도,횡성군,김영숙,자영업,54,19590916,송호대학(사회복지과)졸업 (현 송호대학교),(현)횡성군미술협회부회장,0
43,새누리당,강원도,영월군,심재섭,무,56,19580316,세경대학교 사회복지학과 졸업,(현)석정여중고총동문회장,0
44,새누리당,강원도,평창군,임영순,무,60,19540219,춘천여고 졸,(전)고향을 생각하는 주부들의 모임평창군회장,0
45,새누리당,강원도,화천군,박정순,무직,53,19601216,한림성심대학(사회복지과) 졸업,(현)(사)바르게살기운동본부화천군여성회장,0
46,새누리당,강원도,양구군,김동녀,농업,58,19551105,양구 도촌초졸,(전)양구군여성단체협의회회장,0
47,새정치민주연합,광주광역시,동구,전영원,사회적기업가,52,19610901,전남대학교 졸업,(현)광주여성노동자회 이사,0
48,새정치민주연합,광주광역시,서구,정순애,생활체육인,58,19551203,호남대학교대학원 관광학과 석사과정 재학,(전)민주당 광주시당 부위원장,0
49,새정치민주연합,광주광역시,서구,윤정민,조경,46,19670707,호남대학교 복지행정대학원 석사과정 재학,(현)민영화조경 대표,0
50,새정치민주연합,광주광역시,남구,임순애,"힐링아이 유치원 운영자, 선양어린이집 원장",55,19590203,필리핀 아담슨대학교 교육학 박사(2002.3~2004.9),(전)민주통합당 광주시당 부위원장,0
51,새정치민주연합,광주광역시,남구,황경아,자영업,46,19671011,광주대학교 예술대학의상학과 졸업,(현)공방 미수 대표,0
52,새정치민주연합,광주광역시,북구,김영순,회사원,50,19640413,검정고시(대입),(전) 두암3동 제13통장,0
53,새정치민주연합,광주광역시,북구,장영희,자영업,52,19620315,조선대학교 박사과정 졸업,(현) 광주여성 CC클럽,0
54,새정치민주연합,광주광역시,광산구,정경남,작은별어린이집 원장,43,19710218,광주대학교 일반대학원 유아교육학과 졸업,(현)작은별어린이집 원장,0
55,새정치민주연합,전라북도,정읍시,배정자,사회복지업,64,19491120,전북과학대학교 사회복지학과 졸업,(현) 노인요양시설 둥지원 대표,0
56,새정치민주연합,전라북도,남원시,한명숙,정당인,48,19650928,서남대학교대학원 사회복지학 박사 수료,(전)민주당 남원순창지역위원회 여성위원장,0
57,새정치민주연합,전라북도,남원시,장선화,아동복지사,49,19640904,전주대학교 상담대학원 졸업,(전)남원지역아동센터협의회 회장,0
58,새누리당,전라북도,김제시,김경숙,정당인,49,19640629,원광보건대학교 사회복지과(야)2학년 재학,(현)김제번영아동센타 교사,0
59,새정치민주연합,전라북도,김제시,김영자,정당인,51,19630602,벽성대학 케어복지과 졸업,(전)민주당 김제완주 지역위원회 간사,0
60,새정치민주연합,전라북도,완주군,이인숙,전업주부,46,19671105,한국방송통신대학교 국어국문학과 졸업,(전)민주당 전라북도당 청년위원회 수석부위원,0
61,새정치민주연합,전라북도,진안군,정옥주,정당인,50,19631012,미기재,(전)민주당 진안지역 여성위원장,0
62,새정치민주연합,전라북도,무주군,이해양,사회복지사,47,19660903,세계사이버대학 사회복지과 졸업,(전) 민주당 전라북도당 사회복지위원회 부위원장,0
63,새정치민주연합,전라북도,장수군,이희숙,전업주부,56,19571115,한국방송통신대학교 경영학과 졸업,(전) 장수군체육회여성위원회위원장,0
64,새정치민주연합,전라북도,임실군,유정금,자영업,59,19540705,인화고등학교 2년 재학,(현)한국여성농업인 임실군연합회 회장 ,0
65,새정치민주연합,전라북도,순창군,신정이,문화관광해설사,47,19670207,전남과학대학 체육학과 졸업,(현)순창군통합체육회이사,0
66,새정치민주연합,전라북도,고창군,박정숙,자영업,57,19560729,전북과학대학교 복지계열 아동복지보육전공 재학,(전)고창군여성단체협의회 회장,0
67,새정치민주연합,전라북도,부안군,장은아,보건업,44,19690902,벽성대학 아동복지과 졸업,(현)아름다운쉼터장기요양기관 대표,0
68,새정치민주연합,전라남도,목포시,유혜경,전남 간호사회 사무처장,50,19630708,목포대학교대학원 간호학과 박사과정 수료,(전)전라남도 부정경쟁심의 위원회,0
69,새정치민주연합,전라남도,목포시,김금자,자영업,59,19541007,목포전문대학 사회복지과 졸업,(전)민주당 목포지역위원회 여성위원장,0
70,정의당,전라남도,목포시,위수전,회사원,38,19760319,목포전문대학물리치료과 졸업,(현)대한물리치료사협회 전남서북부지회 복지이사,0
71,새정치민주연합,전라남도,여수시,박성미,사회복지사,44,19691005,호남신학대학교 기독교 상담대학원 졸업,(현)전남지역아동센터 연합회장,0
