,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,새정치민주연합,서울특별시,서울특별시,박원순,서울특별시장,58,19560326,단국대학교 문리과대학 사학과 졸업(문학사),(전)희망제작소 상임이사,56.12
1,새누리당,부산광역시,부산광역시,서병수,정당인,62,19520109,북일리노이대학교 박사과정 졸업(1983.9. ~ 1987.12. 경제학 박사),(전)민선2기 해운대구청장,50.65
2,새누리당,대구광역시,대구광역시,권영진,정당인,51,19621210,고려대학교 일반대학원 정치외교학과 졸업(정치학 박사),(전)서울특별시 정무부시장,55.95
3,새누리당,인천광역시,인천광역시,유정복,정당인,56,19570616,연세대학교 대학원 정치학과 박사과정 수료,(전)제1대 안전행정부 장관,49.95
4,새정치민주연합,광주광역시,광주광역시,윤장현,정당인,65,19490426,조선대학교 대학원 의학박사,(전)새정치연합(가칭)창당준비위원회 공동위원장,57.85
5,새정치민주연합,대전광역시,대전광역시,권선택,정당인,58,19551201,대전대학교대학원 행정학과 졸업(행정학 박사),"(전) 17, 18대 국회의원",50.07
6,새누리당,울산광역시,울산광역시,김기현,정치인,55,19590221,서울대학교 법학과 졸업,"(전)제17,18,19대 국회의원",65.42
7,새정치민주연합,세종특별자치시,세종특별자치시,이춘희,정당인,58,19551206,한양대학교 도시대학원 도시개발경영학과 졸업(도시학 박사),(전) 행정중심복합도시건설청장,57.78
8,새누리당,경기도,경기도,남경필,정당인,49,19650120,"美 예일대학교 경영대학원 졸업(경영학 석사, 1994. 8 ~ 1996. 5)","(전)5선 국회의원(15, 16, 17, 18, 19대)",50.43
9,새정치민주연합,강원도,강원도,최문순,공무원,58,19560204,서울대학교 대학원 영어영문학과 졸업(문학석사),(전)제18대국회의원,49.76
10,새정치민주연합,충청북도,충청북도,이시종,충청북도지사,67,19470418,서울대학교 문리과대학 정치학과 졸업,"(전)17,18대 국회의원",49.75
11,새정치민주연합,충청남도,충청남도,안희정,충청남도지사,49,19650501,고려대학교 철학과 졸업,(전) 민주당 최고위원,52.21
12,새정치민주연합,전라북도,전라북도,송하진,정당인,62,19520429,고려대학교 대학원 졸업(행정학 박사),"(전) 제36, 37대 전주시장",69.23
13,새정치민주연합,전라남도,전라남도,이낙연,정당인,61,19521220,서울대학교 법과대학 법학과 졸업,"(전)제16,17,18,19대 국회의원",77.96
14,새누리당,경상북도,경상북도,김관용,공무원(경상북도지사),71,19421129,영남대학교 행정대학원 졸업[행정학석사(자치행정)],(전)전국시도지사협의회장,77.73
15,새누리당,경상남도,경상남도,홍준표,공무원,59,19541205,고려대학교 법과대학 행정학과 졸업,(현)경상남도지사,58.85
16,새누리당,제주특별자치도,제주특별자치도,원희룡,정당인,50,19640214,서울대학교 법과대학 공법학과 졸업,"(전)16,17,18대 국회의원(서울 양천갑)",59.97
