,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,새누리당,서울특별시,중구가선거구,박영한,신당동떡볶이 삼대할먼네 대표,56,19591020,단국대학교 행정법무대학원 행정학석사,(현)새누리당 중구당협 홍보위원장,42.56
1,더불어민주당,서울특별시,동대문구마선거구,김정수,서정대학교 겸임교수,34,19811124,경희대학교 일반대학원 경영학과(마케팅) 박사과정 재학중,(전)육군 장교(예비역 대위),57.57
2,국민의당,서울특별시,서대문구마선거구,김용일,서울 인생이모작지원센터 강사,58,19570525,동국대학교 경영대학원 부동산학과 졸업(경영학 석사),(현)가재울 전·월세 상담소장,35.39
3,더불어민주당,서울특별시,관악구나선거구,김영석,IT컨설턴트,31,19841206,한양대학교 국제관광대학원 엔터테인먼트콘텐츠학과 졸업(엔터테인먼트학 석사),(전)LG유플러스 IT컨설턴트,48.22
4,더불어민주당,서울특별시,강남구아선거구,강대후,정당인,58,19570801,국민대학교 정치대학원 의회.지방정치전공(정치학 석사),(전)강남구청 공무원직장협의회 회장,54.22
5,새누리당,부산광역시,해운대구가선거구,김정욱,(주)삼화측량공사 기획관리실장,45,19710325,고려대학교 일반대학원 행정학과 석사과정 수료,(현)(주)퍼블릭콘텐츠 대표이사,58.98
6,새누리당,부산광역시,사하구라선거구,이복조,회사원(대림산업 대외협력본부장),51,19650216,인제대학교 경영대학원 졸업(경영학 석사),(전)사하구 청년연합회 회장,53.93
7,새누리당,부산광역시,연제구다선거구,박기홍,정당인,60,19550612,부산경상대학 사회체육과 졸업,(전)연제구의회의원,42.02
8,새누리당,대구광역시,동구다선거구,하중호,농업,56,19591105,서울사이버대학교 4년 재학중,(전)새누리당 대구광역시 동구을 당원협의회 간사,37.35
9,정의당,인천광역시,남동구라선거구,최승원,정당인,39,19761110,한국방송통신대학교 행정학과 졸업,(현)심상정대표 노동특보,52.01
10,더불어민주당,경기도,고양시나선거구,김경태,정당인,58,19570425,한국방송통신대학교 경영학과 졸업,"(전)3, 4대 고양시 시의원",46.03
11,더불어민주당,경기도,부천시바선거구,강병일,국회의원 김상희 보좌관,52,19640125,고려대학교 교육대학원 졸업(교육학석사),(전)부천시의회 운영위원장,39.86
12,새누리당,경기도,김포시라선거구,황순호,대학교 겸임교수,46,19700218,경기대학교 대학원 졸업(경영학박사),(현)새누리당 경기도당 부대변인,59.11
13,더불어민주당,경기도,이천시가선거구,임영길,정당인,58,19580205,두원공업전문대학 자동차과 졸업(현 두원공과대학교),(전)제5대 이천시의회의원,55.38
14,더불어민주당,충청북도,옥천군가선거구,조동주,농업,57,19581012,대구대학교 행정대학원 지역사회개발학과 졸업,(전)삼양초등학교 27회 동창회장,48.85
15,새누리당,충청남도,아산시나선거구,여운영,(주)무건 기획이사,46,19691111,선문대학교 행정대학원 행정학박사과정 수료,"(전)제5대, 6대 아산시의원",51.01
16,더불어민주당,충청남도,논산시라선거구,김만중,농업,55,19610207,대전실업전문대학(현 우송정보대학) 원예과 졸업,(전) 연산면 자치위원장,56.04
17,더불어민주당,충청남도,당진시가선거구,홍기후,서비스업(의류소매업),42,19740224,신성대학교 정보통신과 졸업,(전)당진청년회의소(JCI)회장,42.06
18,국민의당,전라북도,전주시라선거구,김주년,정치인,58,19580127,전주대학교 화학과 졸업,"(전)7,8대 전주시의원",57.53
19,국민의당,전라남도,여수시라선거구,원용규,자영업,60,19560328,가톨릭대학교 영어영미문화과 졸업,(전)농협근무,40.83
20,국민의당,전라남도,고흥군나선거구,송인숙,고흥 유자 전통식품 대표,66,19490502,한국방송통신대학 유아교육과(전문) 졸업,(전)고흥군의회(비례)의원,38.01
21,무소속,경상북도,성주군가선거구,노광희,만석농자재마트 대표,50,19650820,대경대학교 연예매니지먼트.공연이벤트과 졸업,(전)사단법인 한국농업경영인 성주군연합회장,41.56
22,무소속,경상남도,창원시너선거구,김태웅,정치인,55,19610316,창원대학 법학과 졸업,(전)통합창원시 1대 시의원,53.1
23,새누리당,경상남도,진주시다선거구,박성도,정당인,58,19570905,진주산업대학교 미생물공학과(현 경남과학기술대학교)졸업,(전)제6대 진주시의회의원,53.38
24,더불어민주당,경상남도,김해시라선거구,김종근,정당인,51,19640717,창원대학교대학원 건축공학과 졸업(공학박사),(전)김해시건축사회 회장,58.34
25,더불어민주당,경상남도,양산시가선거구,심경숙,정당인,48,19680305,춘해간호전문대학(현 춘해보건대학교) 간호과 졸업,(전)제5대 양산시의회의원,50.85
