,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,새누리당,서울특별시,강서구을,김성태,국회의원,57,19580523,한양대학교 행정대학원 석사 졸업,(전)새누리당 서울시당 위원장,45.92
1,더불어민주당,서울특별시,강서구병,한정애,국회의원,51,19650108,영국 노팅엄대학교 대학원 산업공학박사 졸업(1999.9~2003.4),(현)제19대 국회의원,43.54
2,더불어민주당,서울특별시,구로구갑,이인영,국회의원,51,19640628,고려대학교 언론대학원 졸업(언론학 석사),(전)민주당 최고의원,52.02
3,더불어민주당,서울특별시,구로구을,박영선,국회의원,56,19600122,서강대학교 언론대학원 졸(문학석사),(전) 새정치민주연합 원내대표,54.13
4,더불어민주당,서울특별시,금천구,이훈,정당인,50,19650906,서강대학교 사학과 졸업,(전)김대중정부 청와대 국정상황실장,38.05
5,더불어민주당,서울특별시,영등포구갑,김영주,국회의원,60,19550727,서강대학교 경제대학원 졸업(경제학 석사),(전)통합민주당 사무총장,45.28
6,더불어민주당,서울특별시,영등포구을,신경민,국회의원,62,19530819,서울대학교 사회학과 졸업,(현)국회의원,41.05
7,더불어민주당,서울특별시,동작구갑,김병기,정당인,54,19610710,경희대학교 국민윤리학과 졸업,(전)국정원 근무,36.53
8,새누리당,서울특별시,동작구을,나경원,국회의원,52,19631206,서울대학교 대학원 법학석사,(전)한나라당 최고위원,43.4
9,국민의당,서울특별시,관악구갑,김성식,정당인,57,19581216,서울대학교 경제학과 졸업,(전)관악구갑 국회의원,38.43
10,새누리당,서울특별시,관악구을,오신환,국회의원,45,19710207,고려대학교 정책대학원 아태지역 연구학과 석사과정 수료,(현)관악구을 국회의원,37.05
11,새누리당,서울특별시,서초구갑,이혜훈,연세대학교 경제대학원 특임교수,51,19640615,미국UCLA 경제학 박사(1988.09~1993.12),(전)제17대·제18대 국회의원(서초구갑),57.02
12,새누리당,서울특별시,서초구을,박성중,미래도시연구소 소장,57,19580801,성균관대학교 도시행정학전공 행정학 박사,(전)서초구청장,46.82
13,새누리당,서울특별시,강남구갑,이종구,정당인,65,19500922,서울대학교 경제학과 졸업,"(전)17대,18대 국회의원",54.81
14,더불어민주당,서울특별시,강남구을,전현희,변호사,51,19641104,고려대학교 법무대학원 의료법학(석사과정)졸업,(전)제18대 국회의원,51.46
15,새누리당,서울특별시,강남구병,이은재,건국대학교 교수,64,19520327,미국 클레어몬트 대학원 행정학 박사(1983.9.~1986.5),(전)건국대 행정대학원장,57.8
16,새누리당,서울특별시,송파구갑,박인숙,국회의원,67,19481110,서울대학교의과대학의학과 졸업(학사),(전) 서울아산병원 소아심장과 의사,43.98
17,더불어민주당,서울특별시,송파구을,최명길,정당인,55,19610319,서울대학교 대학원 졸업(정치학석사),(전) MBC뉴스 앵커,44
18,더불어민주당,서울특별시,송파구병,남인순,국회의원,57,19581105,성공회대학교 시민사회복지대학원 사회복지학과 졸업(사회복지학석사),(전) 민주통합당 최고위원,44.88
19,더불어민주당,서울특별시,강동구갑,진선미,국회의원,48,19670514,성균관대학교 법학과 졸업,(전)민주사회를 위한 변호사모임 여성인권위원장,43.79
20,더불어민주당,서울특별시,강동구을,심재권,국회의원,69,19460815,"호주 모나쉬대학 국제정치학 박사(Ph.D), '88-94",(전)시민일보 사장,41.15
21,새누리당,부산광역시,중구영도구,김무성,국회의원,64,19510920,한양대학교 경영학과 졸업,(전)제18대 대선 박근혜 후보 총괄선대본부장,55.8
22,새누리당,부산광역시,서구동구,유기준,국회의원,56,19590810,"뉴욕대학교 법학대학원 졸업(법학석사,1988.8.29~1989.5.18.)",(전)해양수산부 장관,52.2
23,더불어민주당,부산광역시,부산진구갑,김영춘,정당인,54,19620205,고려대학교 대학원 졸업 (정치학석사),(전)제16·17대 국회의원,49.58
24,새누리당,부산광역시,부산진구을,이헌승,제19대 국회의원(부산진구을),52,19630511,고려대학교 경영학과 졸업,(전)새누리당 원내부대표,47.61
25,새누리당,부산광역시,동래구,이진복,국회의원,58,19571018,동아대학교 정책과학대학원 졸업 (행정학석사),(전)민선 3기 동래구청장,42.52
26,새누리당,부산광역시,남구갑,김정훈,국회의원,58,19571103,한양대학교 법학과 졸업,(전) 한나라당 부산시당 위원장,51.95
27,더불어민주당,부산광역시,남구을,박재호,정당인,57,19590213,중앙대학교 행정대학원 졸업,(전)노무현 대통령 정무2비서관,48.11
28,더불어민주당,부산광역시,북구강서구갑,전재수,정당인,44,19710420,동국대학교 대학원 정치학과 졸업(석사),(전) 청와대 제2부속실장,55.92
29,새누리당,부산광역시,북구강서구을,김도읍,국회의원,51,19640706,동아대학교 법학과 졸업,(전)부산지방검찰청 외사부 부장검사,49.47
30,새누리당,부산광역시,해운대구갑,하태경,국회의원,47,19680619,서울대학교 물리학과 졸업,(전)박근혜대통령직인수위원회 국민대통합위원회 간사,51.75
31,새누리당,부산광역시,해운대구을,배덕광,국회의원,67,19480622,경성대학교 대학원 졸업(경영학 박사),(현)제19대 국회의원,49.65
32,더불어민주당,부산광역시,사하구갑,최인호,정당인,49,19661015,부산대학교 대학원 정치외교학과 박사과정 수료,(전)대통령비서실 비서관,49.36
33,새누리당,부산광역시,사하구을,조경태,국회의원,48,19680110,부산대학교 대학원 졸업 공학 박사,(현)제19대 국회의원,59.65
34,새누리당,부산광역시,금정구,김세연,국회의원,43,19720715,서울대 국제경제학과 졸,(현)제19대 국회의원,56.58
35,더불어민주당,부산광역시,연제구,김해영,변호사,39,19770206,부산대학교 법학과 졸업,(현)변호사,51.6
36,새누리당,부산광역시,수영구,유재중,국회의원,60,19560327,부산대학교대학원 법학 박사,"(전) 부산시 수영구 구청장(민선3,4기)",52.43
37,무소속,부산광역시,사상구,장제원,정치인,49,19670413,중앙대학교 신문방송대학원 졸업(언론학석사),(전)18대 국회의원(사상구),37.5
38,새누리당,부산광역시,기장군,윤상직,정당인,59,19560525,서울대학교 사회과학대학 무역학과 졸업,(전)산업통상자원부 장관,41.55
39,새누리당,대구광역시,중구남구,곽상도,변호사,56,19591223,성균관대학교 법학석사,(전)대통령비서실 민정수석비서관,60.67
