,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,자유한국당,서울특별시,서울특별시,김소양,자유한국당 사무처 당직자,39,19781118,숭실대학교 정치외교학과 졸업,(전)국회정책연구위원(2급상당),0
1,정의당,서울특별시,서울특별시,권수정,아시아나항공 승무노동자,44,19730830,성공회대학교 NGO대학원 비정부기구학전공 수료,(전)아시아나항공 노동조합위원장,0
2,바른미래당,서울특별시,서울특별시,김소영,사단법인 한국척수장애인협회 정책기획부 차장,46,19710711,마스터스대학교 졸업 성서학 성경적 상담학문학사(2002년8월~2007년5월),(전)1986년86아시안게임 대한민국 국가대표 체조선수,0
3,더불어민주당,서울특별시,서울특별시,김화숙,정당인,69,19490322,동국대학교 행정대학원 복지행정학과 사회복지 석사,(전)육군 여군학교 학교장,0
4,자유한국당,서울특별시,서울특별시,이성배,회사원,42,19760527,한양대학교 행정대학원 행정학 석사,(현)자유한국당 서울시당 청년위원장,0
5,더불어민주당,서울특별시,서울특별시,한기영,겸임교수,39,19790415,동국대학교 대학원 정치학 박사,(전)중앙선거관리위원회 법제과 연구관,0
6,더불어민주당,서울특별시,서울특별시,권영희,약사,59,19590524,동국대학교 대학원 약학과 박사과정 수료,(현)서초구약사회회장,0
7,자유한국당,서울특별시,서울특별시,여명,학생,27,19910107,숙명여자대학교 정치외교학과 졸업예정,(전)한국대학생포럼 회장,0
8,더불어민주당,서울특별시,서울특별시,이광호,회사원,55,19620805,한양공업고등학교 졸업,(현)한국노총서울지역본부 부의장,0
9,더불어민주당,서울특별시,서울특별시,김경,교수,53,19650226,한양대학교 대학원 교육공학과 멀티미디어교육 박사,(현)한양여자대학교아동보육복지과교수,0
10,더불어민주당,부산광역시,부산광역시,김혜린,자유문화기획자,35,19820703,부산대학교 대학원 사회학석사,(현)뷰직페이퍼 편집장 및 발행인,0
11,자유한국당,부산광역시,부산광역시,윤지영,정당인,47,19700703,부산대학교 대학원 박사과정 수료,(현)자유한국당 부산광역시당 여성 정책팀장,0
12,더불어민주당,부산광역시,부산광역시,정종민,더불어민주당 부산시당 정책실장,47,19710308,부산대학교 사법학과 졸업,(전)문재인대통령후보 부산선대위 전략기획실장,0
13,자유한국당,부산광역시,부산광역시,이영찬,한국노총부산지역본부 사무처장,59,19580717,울산대학교 영어영문학과 졸업,(현)한국노총부산지역본부사무처장,0
14,더불어민주당,부산광역시,부산광역시,최영아,시민사회단체활동가,48,19690805,부산동여자고등학교 졸업,(현)부산시당 장애인위원회 부위원장,0
15,자유한국당,대구광역시,대구광역시,이태손,정당인,64,19531115,대구한의대학교대학원 노인의료복지학과졸업(사회복지학박사),(전)새누리당 대구시당 여성위원장,0
16,더불어민주당,대구광역시,대구광역시,이진연,정당인,43,19750502,경일대학교 경영학부 재학,(현)더불어민주당중앙당 대외협력부위원장,0
17,자유한국당,대구광역시,대구광역시,이시복,정당인,59,19590202,한국방송통신대학교 환경보건학과 졸업,(전)대구광역시 고등학교운영위원협의회 회장,0
18,자유한국당,인천광역시,인천광역시,박정숙,자영업 대표,49,19681105,인하대학교정책대학원 졸업(사회복지학 석사),(현) 인천시당 여성위원회 수석부위원장,0
19,정의당,인천광역시,인천광역시,조선희,시민운동가,47,19701011,성공회대학교 NGO대학원 졸업(여성학석사),(전) 인천여성회 회장,0
20,더불어민주당,인천광역시,인천광역시,조성혜,인천민주화운동센터센터장(2018년 5월 31일 사퇴예정),57,19600727,성신여자사범대학교 국어교육학과 졸업(학사),(전) 인천여성노동자회 이사장,0
21,더불어민주당,인천광역시,인천광역시,유세움,(주) 문화공작소 세움 대표,34,19830903,인천대건고등학교 졸업,(전) 인천시립예술단 운영위원,0
22,더불어민주당,광주광역시,광주광역시,나현,사회단체인,55,19630307,동강대학 호텔조리영양과 졸업(현 동강대학교),(현)광주광역시 동구 지체장애인협회장,0
23,정의당,광주광역시,광주광역시,장연주,광주시민센터 공동대표,49,19690313,전남대학교 국어국문학과 졸업,(현)광주시민센터 공동대표,0
24,더불어민주당,광주광역시,광주광역시,최영환,정당인,34,19840113,퍼시픽 인터콘티넨탈 칼리지 경영학과 졸업(문학사)(2006.03.01.~2007.11.09.),(전)아시아문화원 근무,0
25,더불어민주당,대전광역시,대전광역시,채계순,정당인,52,19650625,충남대학교 사회학과 졸업,(전)대전여성단체연합 정책위원장,0
26,자유한국당,대전광역시,대전광역시,우애자,강사,63,19550415,성신여자대학교 대학원 졸업(음악학 석사),(현)대전백석신학교 강사,0
27,더불어민주당,대전광역시,대전광역시,우승호,장애인식 개선강사,27,19910424,우송대학교 보건복지대학원 건강재활학과 언어청각재활학 석사과정 재학,(현)청각장애 청년활동가,0
28,더불어민주당,울산광역시,울산광역시,김시현,정당인,28,19890930,경남정보대학 경찰경호행정과 졸업,(현)더불어민주당 울산시당 여성위원회 차세대 위원장,0
29,더불어민주당,울산광역시,울산광역시,김미형,정당인,51,19670126,울산대학교 경영학과 4학년 1학기 수료,(현)더불어민주당 중앙당 부대변인,0
30,자유한국당,울산광역시,울산광역시,김종섭,정당인,38,19800407,울산대학교 일반대학원 행정학 석박사통합과정 수료,(현)여의도연구원 정책자문위원,0
31,더불어민주당,세종특별자치시,세종특별자치시,이영세,정당인,62,19550809,중앙대학교 대학원 가정학과 졸업(이학박사),(전)한국여성개발원 연구원,0
32,자유한국당,세종특별자치시,세종특별자치시,박용희,정당인,50,19671001,충북대학교 대학원 국어국문학과 박사과정수료,(현)조치원여자중학교 총동문회장,0
33,정의당,경기도,경기도,이혜원,정당인,52,19650719,한국방송통신대학교 문화교양학과 졸업,(전)전국금속노조 인천지부갑을 플라스틱지회장,0
34,더불어민주당,경기도,경기도,오지혜,국민대학교 전임 연구교수,32,19851030,국민대학교 대학원 졸업(이학박사),(현)국민대학교 전임연구교수,0
35,자유한국당,경기도,경기도,한미림,(사) 대한미용사회 경기도지회장,57,19610405,건국대학교 일반대학원 졸업(이학박사),(현)(사)대한미용사회 경기도지회장,0
36,바른미래당,경기도,경기도,김지나,노무사,34,19831124,한양대학교 대학원수료(경영컨설팅학과 석사과정),(전)안산시청 노사전문 위원,0
37,정의당,경기도,경기도,송치용,정당인,54,19640114,서울대학교 수의학과 졸업,(현)대한수의사회 정무부회장,0
38,더불어민주당,경기도,경기도,김장일,한국전력경기지역본부과장,59,19590107,국민대학교 대학원 졸업(체육학석사),(현)한국노총 경기지역본부 수원지역지부 의장,0
39,자유한국당,경기도,경기도,허원,한국노총 경기지역본부 상임고문,58,19600319,한경대학교 공공정책 대학원 졸업(행정학 석사),(전)한국노총 경기지역본부 의장,0
