,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,더불어민주당,경기도,의왕시,김상돈,정당인,57,19610110,한양대학교 행정자치대학원 지방자치학과졸업(지방자치학 석사),"(전) 의왕시 4대, 5대, 6대시의회의원(6대 전반기의장)",45.07
1,더불어민주당,경기도,구리시,안승남,정당인,52,19651229,한국외국어대학교 경제학과 졸업,"(전)8대, 9대 경기도의회의원",60.02
2,더불어민주당,경기도,남양주시,조광한,군장대학교 석좌 교수,60,19580201,한국외국어대학교 중국어과 졸업,(전)노무현대통령 청와대 비서관,64.39
3,더불어민주당,경기도,오산시,곽상욱,오산시장,53,19640622,단국대학교 대학원 졸업(행정학박사),(현)오산시장,72.29
4,더불어민주당,경기도,화성시,서철모,정당인,49,19680710,공군사관학교 졸업,(전)문재인대통령 비서실 청와대 행정관,59.08
5,더불어민주당,경기도,시흥시,임병택,정당인,43,19740729,전남대학교 법학과 졸업,(전)노무현대통령 청와대 행정관,72.5
6,더불어민주당,경기도,군포시,한대희,정당인,56,19620415,한국외국어대학교 서양어대학 독일어과 3학년 중퇴(1981.03~1991.04),(전)문재인정부 대통령직속 지역발전위원회 위원,56.11
7,더불어민주당,경기도,하남시,김상호,정당인,49,19680806,연세대학교 정치외교학과 졸업,(현)더불어민주당 정책위원회 부의장,65.91
8,더불어민주당,경기도,파주시,최종환,정치인,52,19650727,경희대학교 경제학과 졸업,(전)노무현대통령 청와대 행정관,60.83
9,더불어민주당,경기도,여주시,이항진,여주시의회의원,52,19651025,세종대학교 영어영문학과 졸업,(전)4대강 범국민대책위원회 전국 상황실장,33.87
10,더불어민주당,경기도,이천시,엄태준,변호사,54,19630901,단국대학교 법학과 졸업,(전)더불어민주당 이천시 지역위원장,57.5
11,더불어민주당,경기도,용인시,백군기,정당인,68,19500212,육군사관학교 졸업,(전)제19대 국회의원,53.72
12,더불어민주당,경기도,안성시,우석제,안성시 축협 조합장,56,19610726,한경대학교 바이오·정보기술대학원 수료(동물·낙농생명학과 석사과정) ,(현) 안성시 축협 조합장,51.59
13,더불어민주당,경기도,김포시,정하영,정당인,55,19621002,인하대학교 생물학과 졸업,(전)제19대 문재인 대통령후보 김포시(을) 선거대책위원장,65.84
14,더불어민주당,경기도,광주시,신동헌,광주지역발전연구소 대표,66,19520511,한양대학교 언론정보대학원 졸업(문학석사),(전)KBS제작단 PD,61.13
15,더불어민주당,경기도,포천시,박윤국,정당인,62,19560412,명지대학교 토목공학과 졸업,(전)경기도의회의원,52.07
16,자유한국당,경기도,연천군,김광철,정당인,59,19580908,대진대학교 통일대학원 석사과정 (통일학)휴학중,"(전)연천군의회 제 3,4대 의원",52.23
17,더불어민주당,경기도,양평군,정동균,정당인,58,19600613,고려대학교 정책대학원 졸업(행정학석사),(전)더불어민주당 여주·양평지역위원장,37.18
18,자유한국당,경기도,가평군,김성기,가평군수,61,19560914,한림전문대학(현 한림성심대학교)  지방행정과 졸업,(전)경기도의회의원,45.05
19,더불어민주당,강원도,춘천시,이재수,정당인,53,19640625,강원대학교 일반대학원 농업자원경제학과 박사과정 수료,(전)문재인 대통령비서실 선임행정관,50.09
20,더불어민주당,강원도,원주시,원창묵,지방정무직공무원,57,19601210,중앙대학교 건설대학원 졸업(공학석사),(현)원주시장,59.18
21,자유한국당,강원도,강릉시,김한근,강릉원주대학교 초빙교원,54,19630822,중앙대학교 대학원 졸업(법학박사),(전)주 중국 대사관 공사참사관,43.02
22,무소속,강원도,동해시,심규언,동해시장,62,19551001,관동대학교(현 가톨릭관동대학교) 행정대학원 졸업(행정학 석사),(전)동해시장권한대행 부시장,42.71
23,더불어민주당,강원도,삼척시,김양호,삼척시장,56,19611201,강원대학교 법과대학 행정학과 졸업,(현)삼척시장,61.8
24,더불어민주당,강원도,태백시,유태호,정당인,54,19630726,계명대학교 사회학과 2년 중퇴(1982. 3. 3. ~ 1984. 2. 28.),(전)태백시의회 의장,36.13
25,더불어민주당,강원도,정선군,최승준,무직,61,19560713,대원과학대학 사회복지과 졸업,(전)정선군의회 의장,57.7
26,더불어민주당,강원도,속초시,김철수,정당인,61,19561120,경동대학교 경영정보학 졸업,(전)속초시 부시장,44.32
27,더불어민주당,강원도,고성군,이경일,교수(부총장),60,19580104,광운대학교 대학원 졸업(행정학박사),(전)동부지방산림청장,48.91
28,자유한국당,강원도,양양군,김진하,지방정무직 공무원,58,19600308,강릉원주대학교 경영정책과학대학원 행정학 석사과정 졸업,(전)강원도청 미래기획과 미래산업사무관,47.7
29,더불어민주당,강원도,인제군,최상기,정당인,63,19550103,인제농업고등학교졸업,(전)인제군 부군수,54.74
30,더불어민주당,서울특별시,종로구,김영종,공무원,64,19531203,한양대학교 대학원 행정학과 졸업(행정학 박사),(현)종로구청장,64.37
31,더불어민주당,서울특별시,중구,서양호,정당인,50,19671015,숭실대학교 철학과 졸업,(전)노무현 대통령 청와대 행정관,51.36
32,더불어민주당,서울특별시,용산구,성장현,공무원,63,19550517,단국대학교 대학원 졸업(행정학 박사),(현)단국대학교 행정법무대학원 겸임교수,57.93
33,더불어민주당,서울특별시,성동구,정원오,성동구청장,49,19680812,한양대학교 공공정책대학원 졸업(사회복지학석사),(현) 성동구청장,69.46
34,더불어민주당,서울특별시,광진구,김선갑,정당인,57,19600625,서울시립대학교 일반대학원 사회복지학과 박사 재학중,(현)더불어민주당 추미애 당대표 경제특보,65.92
35,더불어민주당,서울특별시,동대문구,유덕열,공무원,63,19540709,경희대학교대학원 법학과 졸업(법학석사),(전)민주당 중앙당 사무부총장,64.47
36,더불어민주당,서울특별시,중랑구,류경기,정당인,56,19611021,서울대학교 정치학과 졸업,(전)서울특별시 행정1부시장,61.86
37,더불어민주당,서울특별시,성북구,이승로,정당인,58,19600218,고려대학교 정책대학원 석사과정 도시및지방행정학과 졸업(행정학석사),(전) 민주당 중앙당 사무부총장,64.32
38,더불어민주당,서울특별시,강북구,박겸수,기초자치단체장,58,19591026,한양대학교 대학원 행정학 박사,(현)강북구청장,64.57
39,더불어민주당,서울특별시,도봉구,이동진,도봉구청장,57,19600908,고려대학교 문과대학 영어영문학과 졸업,(전) 국회의원 김근태 보좌관,66.87
40,더불어민주당,서울특별시,노원구,오승록,정당인,48,19691130,연세대학교 문과대학 문헌정보학과 졸업,(전)노무현 대통령 청와대 행정관(3급),64.94
41,더불어민주당,서울특별시,은평구,김미경,정당인,52,19650705,고려대학교 정책대학원 졸업(행정학석사),(전)문재인 대통령후보 서울시민캠프 상임대표,66.55
42,더불어민주당,서울특별시,서대문구,문석진,선출직공무원(서대문구청장),62,19550710,연세대학교 경영학과 졸업,(현)민선5 ·6기 서대문구청장,67.34
