,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,더불어민주당,서울특별시,종로구제1선거구,고병국,정세균 국회의원 보좌관,45,19730503,고려대학교 대학원 정치외교학과 졸업(정치학석사),(전)정세균 국회의장 정무비서관(2급상당),54.22
1,더불어민주당,서울특별시,종로구제2선거구,임종국,정당인,54,19640531,한국외국어대학교 영어대학 영어과 졸업,(전)노무현정부 대통령자문 동북아시대위원회 자문위원,64.83
2,더불어민주당,서울특별시,중구제1선거구,박순규,정당인,57,19600719,호남대학교 경제학과 졸업,(전)통합민주당 인권특별위원회 부위원장,53.14
3,더불어민주당,서울특별시,중구제2선거구,박기재,정당인,50,19680414,국민대학교 정치대학원 지방정치학과 졸업(정치학 석사),(전)서울특별시 중구의회 제6대 의장,57.67
4,더불어민주당,서울특별시,용산구제1선거구,김제리,서울특별시의회의원,58,19600520,연세대학교 행정대학원 졸업(행정학석사),(현)서울특별시의회 의원,56.27
5,더불어민주당,서울특별시,용산구제2선거구,노식래,정당인,60,19580124,연세대학교 정경대학 경제학과 3년 재적,(전)제18대 문재인대통령후보 선대위 부대변인,61.55
6,더불어민주당,서울특별시,성동구제1선거구,이동현,정당인,26,19911017,가톨릭대학교 행정학과 졸업,(전) 문재인 대통령 후보 조직특보,52.29
7,더불어민주당,서울특별시,성동구제2선거구,정지권,건축업,57,19600911,서울문화예술대학교 실버문화경영학과 2학년 재학중,(전) 제4대 성동구의회의원,67.04
8,더불어민주당,서울특별시,성동구제3선거구,김기대,서울특별시의회의원,57,19601204,서경대학교 경영학과 졸업,(전) 문재인대통령후보 중구성동구갑 선거대책본부장,71.49
9,더불어민주당,서울특별시,성동구제4선거구,김달호,정당인,66,19511112,경복대학교 복지행정과 졸업,"(전) 제5, 6, 7대 성동구의회의원",70.73
10,더불어민주당,서울특별시,광진구제1선거구,전병주,더불어민주당 광진갑 상무위원,53,19640918,고려대학교 정책대학원 도시 및 지방행정학과 졸업(행정학 석사),(전)제7대 광진구의회 기획행정위원장,65.38
11,더불어민주당,서울특별시,광진구제2선거구,오현정,정당인,43,19750225,고려대학교대학원 보건학박사과정 수료,(현)더불어민주당 중앙당 부대변인,63.04
12,더불어민주당,서울특별시,광진구제3선거구,김호평,변호사,38,19800607,한양대학교 경영학부 졸업,(전)19대 백군기 국회의원 비서관,57.91
13,더불어민주당,서울특별시,광진구제4선거구,김재형,추미애 국회의원 보좌관,41,19770327,고려대학교 정책대학원 감사행정학과(석사과정) 수료,(현)추미애 당대표 국회의원 보좌관,61.5
14,더불어민주당,서울특별시,동대문구제1선거구,송정빈,정당인,34,19830623,경희대학교 공공대학원 정책학과 졸업(행정학석사),(전)문재인 대통령후보 동대문(갑) 유세단장,61.41
