동,count,mean,std,min,25%,50%,75%,max
가락동,65.0,149907.6923076923,46039.52211039821,18500.0,115000.0,159000.0,180000.0,290000.0
가산동,3.0,57233.333333333336,40878.64152993998,15500.0,37250.0,59000.0,78100.0,97200.0
가양동,18.0,64916.666666666664,18098.78936477764,47000.0,51250.0,62500.0,69875.0,118000.0
갈현동,4.0,35539.5,9098.195040775945,22000.0,34511.5,39341.0,40369.0,41476.0
강일동,9.0,74877.77777777778,7161.490378716182,59000.0,73500.0,75000.0,78200.0,85000.0
개봉동,17.0,62435.294117647056,8949.297540622294,41000.0,57000.0,61000.0,70000.0,75000.0
개포동,37.0,156806.75675675675,70507.85630197746,81000.0,101000.0,120000.0,240000.0,315000.0
거여동,6.0,80083.33333333333,28718.31587448447,55500.0,58625.0,70000.0,94875.0,127000.0
고덕동,39.0,113220.51282051283,26797.919984946006,69000.0,91750.0,108800.0,129000.0,200000.0
고척동,12.0,61833.333333333336,19015.94227499812,31000.0,54250.0,60500.0,73000.0,92000.0
공덕동,16.0,116593.75,37988.69075132756,17500.0,101750.0,109250.0,139000.0,200000.0
공릉동,17.0,54058.82352941176,26135.107107670552,11800.0,39500.0,58000.0,71000.0,100000.0
광장동,17.0,109647.05882352941,24535.538450558277,87000.0,90000.0,105000.0,116000.0,177500.0
구로동,33.0,48340.90909090909,23715.222743476967,11500.0,25000.0,46700.0,65000.0,92000.0
구산동,1.0,58000.0,,58000.0,58000.0,58000.0,58000.0,58000.0
구의동,7.0,113600.0,22353.29953273118,70000.0,107850.0,120000.0,125000.0,139500.0
금호동1가,5.0,104900.0,44351.43740624423,72000.0,80500.0,82000.0,110000.0,180000.0
금호동2가,3.0,119333.33333333333,24851.223980587623,100500.0,105250.0,110000.0,128750.0,147500.0
금호동3가,4.0,102250.0,21013.884299037465,86000.0,88250.0,95500.0,109500.0,132000.0
금호동4가,3.0,110333.33333333333,21079.21567168317,86000.0,104000.0,122000.0,122500.0,123000.0
길동,9.0,55494.444444444445,26803.339862371216,10500.0,58200.0,63000.0,70000.0,87750.0
길음동,38.0,80615.78947368421,14936.433351097514,51100.0,68875.0,79000.0,90000.0,129000.0
남가좌동,22.0,80940.90909090909,31891.641823239803,14000.0,65250.0,79850.0,109750.0,125000.0
남현동,2.0,59500.0,13435.028842544403,50000.0,54750.0,59500.0,64250.0,69000.0
내발산동,19.0,81447.36842105263,19139.759908544438,68000.0,70500.0,74000.0,85000.0,147000.0
내수동,2.0,185000.0,0.0,185000.0,185000.0,185000.0,185000.0,185000.0
노량진동,5.0,94100.0,20237.341722667035,78000.0,80000.0,80000.0,116000.0,116500.0
녹번동,6.0,79625.0,24491.707780389672,30000.0,86437.5,87875.0,91000.0,94000.0
논현동,7.0,153428.57142857142,78438.63236708712,85000.0,92500.0,105000.0,209000.0,281000.0
답십리동,47.0,67759.5744680851,29473.176158304766,13500.0,55850.0,66000.0,89500.0,125000.0
당산동,3.0,90333.33333333333,4163.331998932265,87000.0,88000.0,89000.0,92000.0,95000.0
당산동2가,1.0,96500.0,,96500.0,96500.0,96500.0,96500.0,96500.0
당산동3가,2.0,74500.0,20506.096654409877,60000.0,67250.0,74500.0,81750.0,89000.0
당산동4가,7.0,87357.14285714286,15934.015725574554,69000.0,79750.0,87000.0,88500.0,119000.0
대림동,20.0,56342.5,36868.19080753832,8000.0,13850.0,66000.0,81000.0,110000.0
대방동,3.0,71733.33333333333,49403.07008003989,19700.0,48600.0,77500.0,97750.0,118000.0
